unique_id,ds,value
qty,2019-05-26,615.3202926675224
qty,2019-06-09,723.9513060648147
qty,2019-06-16,727.5997177967981
qty,2019-06-23,678.073981836417
qty,2019-06-30,597.074985028186
qty,2019-07-07,569.7382343111219
qty,2019-07-14,1122.0720907579407
qty,2019-07-21,1259.9900829911517
qty,2019-08-04,1267.4334455905705
qty,2019-10-27,1165.5370813862967
qty,2019-11-10,1101.3856234822142
qty,2019-12-22,1200.4950902303158
qty,2020-01-05,1145.299544468193
qty,2020-01-12,1043.592575871627
qty,2020-01-19,1270.7193120140967
qty,2020-02-16,1264.5725066787481
qty,2020-03-01,1250.6355553676315
qty,2020-03-08,1150.3439046670342
qty,2020-03-15,1052.331753816652
qty,2020-03-22,930.7107916960808
qty,2020-05-10,835.8173802842509
qty,2020-05-17,733.8437376015837
qty,2020-05-24,632.471277351469
qty,2020-06-21,551.9658473044343
qty,2020-07-12,480.4496314094646
qty,2020-07-19,439.4291163895387
qty,2020-07-26,863.6956822247728
qty,2020-08-09,1005.025523693203
qty,2020-09-20,1000.7370963997294
qty,2020-10-11,934.5719546215821
qty,2020-10-25,837.807189499269
qty,2020-11-22,953.8072345401578
qty,2020-12-20,938.5634121395688
qty,2020-12-27,1061.4882198814366
qty,2021-01-17,1036.7832258017972
qty,2021-01-31,1006.6741449172499
qty,2021-02-07,1264.0134427154826
qty,2021-02-21,1408.9698351493819
qty,2021-03-07,1387.550365330134
qty,2021-03-21,1275.2926475713498
qty,2021-03-28,1134.576803550691
qty,2021-04-04,993.9712881749592
qty,2021-04-11,856.4065563805726
qty,2021-04-18,780.3169479530985
qty,2021-04-25,979.8247086146547
qty,2021-05-02,1008.1072944471897
qty,2021-05-16,939.9539149662506
qty,2021-05-30,836.6780109036406
qty,2021-06-06,738.8652126870315
qty,2021-06-13,650.1767059404842
qty,2021-06-20,677.8706483876816
qty,2021-06-27,639.6439433430403
qty,2021-07-04,1128.3715393522007
qty,2021-08-01,1288.7186021673456
qty,2021-09-05,1267.3766321178025
qty,2021-10-03,1159.9661547162966
qty,2021-10-10,1027.300128009005
qty,2021-10-24,918.4354679068487
qty,2021-10-31,1034.2004011095696
qty,2021-11-07,1076.6524377089163
qty,2021-11-14,1009.8056387907711
qty,2021-11-28,906.2999349977049
qty,2021-12-12,862.4391223985454
qty,2021-12-19,796.4703695571061
qty,2021-12-26,1595.0041462940571
qty,2022-01-16,1818.1795605393797
qty,2022-01-23,1770.5554627853594
qty,2022-01-30,1632.3531370467954
qty,2022-02-06,1446.7759306729301
qty,2022-02-13,1260.0207011076977
qty,2022-02-20,1104.253278222429
qty,2022-02-27,953.3022878515537
qty,2022-03-06,858.0699829717705
qty,2022-03-13,766.3154633671284
qty,2022-03-27,708.8585617802487
qty,2022-04-03,666.2561384582256
qty,2022-04-10,916.1746639064932
qty,2022-04-17,986.5539617974853
qty,2022-05-08,967.0968202685174
qty,2022-05-15,895.5851535148968
qty,2022-05-22,800.2391674396279
qty,2022-05-29,734.5164115285014
qty,2022-06-12,894.6641294745671
qty,2022-06-19,895.121600870232
qty,2022-06-26,829.9126891999001
qty,2022-07-03,1412.6649740844564
qty,2022-07-10,1545.381635461825
qty,2022-07-17,1480.6307833365113
qty,2022-07-24,1374.2817376450178
qty,2022-08-07,1280.5411531314815
qty,2022-09-04,1163.7606975561257
qty,2022-09-11,1028.525007398345
qty,2022-09-18,953.565381497272
qty,2022-10-02,855.7371194721034
qty,2022-10-09,769.6795511919797
qty,2022-10-16,911.2410005655622
qty,2022-10-23,935.738296862932
qty,2022-10-30,1023.065096094445
qty,2022-12-11,1024.1371103661945
qty,2022-12-18,943.91141128798
qty,2022-12-25,988.7848787936207
qty,2023-01-08,951.7440506429582
qty,2023-01-15,1059.814148082895
qty,2023-01-22,1032.8746802844094
qty,2023-01-29,1045.3439847583095
qty,2023-02-05,967.6663489549649
qty,2023-02-12,865.0278912909913
qty,2023-02-19,755.6048737548667
qty,2023-02-26,881.2228116444536
qty,2023-03-05,895.7565112031396
qty,2023-03-12,894.2495770236118
qty,2023-03-19,957.1580171259031
qty,2023-03-26,1264.1743594226334
qty,2023-04-02,1328.3306970023996
qty,2023-04-16,1257.9869644666396
qty,2023-04-23,1206.058051538107
qty,2023-05-07,1116.1236807681894
qty,2023-05-21,993.3397824621495
qty,2023-05-28,870.6487315806551
qty,2023-06-04,751.2337642676689
qty,2023-06-11,641.4230664314689
qty,2023-06-18,635.3138030206854
qty,2023-06-25,647.3577403760976
qty,2023-07-02,934.8815481178295
qty,2023-07-09,981.558018496982
qty,2023-07-23,946.0888251066608
qty,2023-08-06,1015.2550446688526
qty,2023-09-03,967.1503298438872
qty,2023-09-10,874.282043268116
qty,2023-10-01,775.4699055096563
qty,2023-10-22,672.3140501727698
qty,2023-10-29,616.7459482027928
qty,2023-11-12,550.2855781367439
qty,2023-11-19,478.7253341901951
qty,2023-11-26,410.793154872724
qty,2023-12-03,359.4958341201067
qty,2023-12-17,323.33054505619634
qty,2023-12-24,387.57085922106455
qty,2024-01-07,510.3155293130376
qty,2024-01-14,536.0438724049793
qty,2024-01-21,518.5373799296834
qty,2024-02-04,565.8656901630859
qty,2024-02-11,549.3407570518816
qty,2024-02-18,502.6694263155166
qty,2024-03-10,446.95633295143915
qty,2024-03-31,402.6927668953321
qty,2024-04-07,360.7184438702666
qty,2024-04-14,342.6155025285684
qty,2024-05-12,373.53780826036643
qty,2024-05-19,360.80102373335706
price,2019-05-26,183.4959869539023
price,2019-06-09,162.94902270423415
price,2019-06-16,173.23014529581218
