unique_id,ds,value
qty,2019-06-02,1967.8818385675836
qty,2019-06-16,1943.2519786348687
qty,2019-06-23,1937.4523199520481
qty,2019-07-07,2032.366135135921
qty,2019-07-14,2163.313408705393
qty,2019-07-21,2044.6376676145624
qty,2019-07-28,2130.3207079728872
qty,2019-08-04,2175.6474509681066
qty,2019-09-01,2327.878873313125
qty,2019-09-08,2205.6813805997485
qty,2019-09-15,2310.3843146389495
qty,2019-09-22,2261.701156962979
qty,2019-09-29,2213.9726508407434
qty,2019-10-13,2123.7982786087023
qty,2019-10-20,1972.371929589673
qty,2019-10-27,1755.501161526105
qty,2019-11-03,1793.5519601045817
qty,2019-11-10,1666.827890691712
qty,2019-11-17,1669.8809218013766
qty,2019-11-24,1659.866411092937
qty,2019-12-01,1702.3227821389526
qty,2019-12-08,1766.7950211683246
qty,2019-12-15,1794.552378610609
qty,2020-01-12,1663.6310037956837
qty,2020-01-19,1707.7016551340332
qty,2020-01-26,1590.8096977440534
qty,2020-02-02,1790.5112263483893
qty,2020-02-09,1979.862682787433
qty,2020-02-16,1919.124819402478
qty,2020-02-23,1900.5007975012466
qty,2020-03-08,1915.067593396444
qty,2020-03-15,1780.601478914984
qty,2020-03-22,1589.7214756710034
qty,2020-04-26,1384.9009293158429
qty,2020-05-03,1296.168162578341
qty,2020-05-10,1155.901379584547
qty,2020-05-17,1279.6747267139285
qty,2020-05-24,1230.0688822508296
qty,2020-05-31,1138.1645283363305
qty,2020-06-07,1052.573651758557
qty,2020-06-14,1129.0307807761899
qty,2020-06-28,1205.0880006676143
qty,2020-07-12,1279.460886670256
qty,2020-07-19,1370.8361508152907
qty,2020-07-26,1533.2904938933475
qty,2020-08-02,1678.4982955016271
qty,2020-08-09,1693.6091092909064
qty,2020-08-30,1676.8437627877151
qty,2020-09-06,1673.864407926662
qty,2020-09-13,1539.7703214709486
qty,2020-09-20,1520.5598785532657
qty,2020-09-27,1604.0823629862498
qty,2020-10-11,1562.0271822741008
qty,2020-10-18,1547.5250838204051
qty,2020-10-25,1670.3396816156617
qty,2020-11-01,1672.5480608710284
qty,2020-11-15,1694.752884945031
qty,2020-11-22,1651.4451619392366
qty,2020-11-29,1621.8251786510198
qty,2020-12-06,1565.1545806383556
qty,2020-12-13,1697.8732886581483
qty,2021-01-03,1800.3816381780753
qty,2021-01-24,1841.3028257459328
qty,2021-01-31,1915.6817398084834
qty,2021-02-07,1853.5856950233485
qty,2021-02-14,1858.2970387017663
qty,2021-02-21,1853.015069474292
qty,2021-02-28,1719.9303466221395
qty,2021-03-14,1674.6405989263271
qty,2021-03-21,1522.4574744121846
qty,2021-03-28,1505.2919736311112
qty,2021-04-04,1472.5154143331054
qty,2021-04-11,1375.08462468198
qty,2021-04-18,1332.5222564315627
qty,2021-04-25,1388.3299555472497
qty,2021-05-02,1429.030693764758
qty,2021-05-09,1559.2634587154594
qty,2021-05-16,1616.305634338759
qty,2021-05-23,1721.2483284235805
qty,2021-05-30,1628.8406610538402
qty,2021-06-06,1614.8208586629898
qty,2021-06-13,1481.4985348473115
qty,2021-06-20,1699.8574321597575
qty,2021-06-27,2032.3215559373361
qty,2021-07-11,2222.5953089868854
qty,2021-07-18,2317.4243946886154
qty,2021-08-01,2469.111173445169
qty,2021-08-08,2337.022249275332
qty,2021-08-29,2104.7198441962755
qty,2021-09-05,2059.813839968447
qty,2021-09-12,2050.0964565226827
qty,2021-09-19,2005.59081610757
qty,2021-09-26,1937.6684910557644
qty,2021-10-03,1916.0580493295831
qty,2021-10-10,1856.2928680614295
qty,2021-10-17,1832.414235228678
qty,2021-10-24,1895.0518920445243
qty,2021-10-31,1870.6296108700599
qty,2021-11-07,1853.5493174937765
qty,2021-11-14,1857.8592494728387
qty,2021-11-21,1783.9492432063403
qty,2021-11-28,1631.0841571401986
qty,2021-12-05,1550.65659698966
qty,2021-12-12,1615.0352036427064
qty,2021-12-26,1734.3803520935921
qty,2022-01-02,1769.3341558065408
qty,2022-01-09,1914.4687767613493
qty,2022-01-16,1925.8127575197177
qty,2022-01-23,1809.6784849408173
qty,2022-01-30,1791.6621589452027
qty,2022-02-06,1691.515816498816
qty,2022-02-20,1776.8104035873646
qty,2022-02-27,1820.6426218209006
qty,2022-03-06,1842.918715522143
qty,2022-03-13,1839.6423905293364
qty,2022-03-20,1815.62105320522
qty,2022-03-27,1800.3010525824448
qty,2022-04-03,1740.5361356150743
qty,2022-04-17,1697.3071759788759
qty,2022-04-24,1640.9223406424485
qty,2022-05-01,1699.159961775452
qty,2022-05-08,1702.7905703490392
qty,2022-05-15,1662.9667816857536
qty,2022-05-22,1607.40430901919
qty,2022-05-29,1618.8546885279843
qty,2022-06-05,1652.87604765839
qty,2022-06-12,1714.2847888420274
qty,2022-06-19,1785.5054019878376
qty,2022-07-03,1788.1235107128878
qty,2022-07-10,2046.0076501169447
qty,2022-07-17,2187.4479595591683
qty,2022-07-24,2289.599960668989
qty,2022-07-31,2240.4604347185054
qty,2022-08-28,2206.398479583151
qty,2022-09-04,2023.6343473788593
qty,2022-09-18,1909.3516896886927
qty,2022-09-25,1887.1281060762585
qty,2022-10-02,1852.9538898909345
qty,2022-10-09,1804.4613511624725
qty,2022-10-16,1761.363788032564
qty,2022-10-23,1776.148996913983
qty,2022-10-30,1653.002344117185
qty,2022-11-06,1660.332349928083
qty,2022-11-13,1767.1233359553205
qty,2022-11-20,1778.9996091899975
qty,2022-11-27,1754.0019723497555
qty,2022-12-04,1755.0266137355197
qty,2022-12-11,1721.0889308940568
qty,2022-12-18,1689.1523204534947
qty,2022-12-25,1646.7556600471644
qty,2023-01-01,1603.8906832536118
qty,2023-01-08,1548.9648452727652
qty,2023-01-15,1510.6002276272325
qty,2023-01-22,1475.7274725106108
qty,2023-01-29,1425.4477621938986
qty,2023-02-05,1489.8698564196643
qty,2023-02-12,1513.8638437209847
qty,2023-02-19,1530.9634618805217
qty,2023-02-26,1545.3950854656532
qty,2023-03-05,1579.1949815164617
qty,2023-03-12,1492.2802479936172
qty,2023-03-19,1547.676681820725
qty,2023-03-26,1533.6043912575426
qty,2023-04-02,1504.5696217170043
qty,2023-04-09,1502.897078861892
