unique_id,ds,value
qty,2019-05-26,3407.2223123203235
qty,2019-06-02,3392.3616626371854
qty,2019-06-09,3428.0913317799555
qty,2019-06-16,3439.9571541601276
qty,2019-06-23,3462.8006703542824
qty,2019-06-30,3262.107600507079
qty,2019-07-07,3379.1985874659936
qty,2019-07-14,3972.4886927432826
qty,2019-07-21,4175.050739790504
qty,2019-07-28,4375.918275164736
qty,2019-08-04,4497.180477393599
qty,2019-09-01,4587.028935500279
qty,2019-09-08,4361.998077844524
qty,2019-09-15,4400.444391679755
qty,2019-09-22,4158.4429949489395
qty,2019-09-29,4090.2811572397054
qty,2019-10-06,3871.8769829306157
qty,2019-10-13,3677.139592962178
qty,2019-10-20,3485.3356407662013
qty,2019-10-27,3132.631894204223
qty,2019-11-03,3063.4860193683785
qty,2019-11-10,2905.140251031081
qty,2019-11-17,2868.1584155764344
qty,2019-11-24,2745.9721488744117
qty,2019-12-01,2725.953206252072
qty,2019-12-08,2889.720078546862
qty,2019-12-15,3019.2232133167913
qty,2019-12-22,3042.306324516949
qty,2020-01-05,3056.442375277038
qty,2020-01-12,2834.017207519326
qty,2020-01-19,3270.6704858801904
qty,2020-01-26,3311.0031456058723
qty,2020-02-02,3598.60961367414
qty,2020-02-09,3895.619022258247
qty,2020-02-16,3901.829964901726
qty,2020-02-23,3966.745810931794
qty,2020-03-01,3941.7132285278003
qty,2020-03-08,4083.5561506491954
qty,2020-03-15,3976.4852753928767
qty,2020-03-22,3754.8213687698
qty,2020-04-26,3364.8260676629498
qty,2020-05-03,3040.7279279699437
qty,2020-05-10,2823.5784170925212
qty,2020-05-17,2914.805168201495
qty,2020-05-24,2792.9584072265416
qty,2020-05-31,2546.3512599545684
qty,2020-06-07,2415.351483839578
qty,2020-06-14,2502.086328133813
qty,2020-06-21,2445.2323964580683
qty,2020-06-28,2360.53205406889
qty,2020-07-05,2231.3245162276353
qty,2020-07-12,2210.465010707492
qty,2020-07-19,2283.6757086504876
qty,2020-07-26,2997.8336236377045
qty,2020-08-02,3355.151909897412
qty,2020-08-09,3495.747855025944
qty,2020-08-30,3609.851550398924
qty,2020-09-06,3651.7125557772665
qty,2020-09-13,3484.4573349737448
qty,2020-09-20,3430.2478232331837
qty,2020-09-27,3527.5590727737595
qty,2020-10-04,3442.2597501137693
qty,2020-10-11,3406.8524520101314
qty,2020-10-18,3390.8635300082005
qty,2020-10-25,3491.8650215683806
qty,2020-11-01,3495.281717445674
qty,2020-11-08,3399.8813048908487
qty,2020-11-15,3325.6520927434067
qty,2020-11-22,3434.8791583965785
qty,2020-11-29,3462.675284619326
qty,2020-12-06,3308.3633451533387
qty,2020-12-13,3428.0144320675477
qty,2020-12-20,3351.1965979433608
qty,2020-12-27,3256.19622277811
qty,2021-01-03,3180.757775053713
qty,2021-01-10,3053.756034426621
qty,2021-01-17,2896.164937746328
qty,2021-01-24,2833.6318571000415
qty,2021-01-31,2940.698028321187
qty,2021-02-07,3260.98703608293
qty,2021-02-14,3386.34544647824
qty,2021-02-21,3470.606746352929
qty,2021-02-28,3430.332235820668
qty,2021-03-07,3285.4531770338926
qty,2021-03-14,3290.053662797157
qty,2021-03-21,3187.532155880662
qty,2021-03-28,3335.627347848499
qty,2021-04-04,3260.9351639954643
qty,2021-04-11,3197.4767545829154
qty,2021-04-18,3273.1410104720935
qty,2021-04-25,3646.538090799895
qty,2021-05-02,3886.302833828515
qty,2021-05-09,4082.2313431105517
qty,2021-05-16,4159.976725917816
qty,2021-05-23,4273.809312568974
qty,2021-05-30,4205.9373311037625
qty,2021-06-06,4203.180444324969
qty,2021-06-13,4062.71177301375
qty,2021-06-20,4345.668056514314
qty,2021-06-27,4651.291430431966
qty,2021-07-04,5177.446456610832
qty,2021-07-11,5427.509178505155
qty,2021-07-18,5792.423249614298
qty,2021-07-25,5691.7286215787735
qty,2021-08-01,5947.0961414635585
qty,2021-08-08,5585.022182384937
qty,2021-08-29,5193.654382710704
qty,2021-09-05,5090.068660258194
qty,2021-09-12,5021.5315040638925
qty,2021-09-19,5018.606781801445
qty,2021-09-26,4913.19552076487
qty,2021-10-03,4861.461674280417
qty,2021-10-10,4818.592319256171
qty,2021-10-17,4848.967897272998
qty,2021-10-24,5313.357333753154
qty,2021-10-31,5857.653878363977
qty,2021-11-07,5928.540059901627
qty,2021-11-14,5984.632708417415
qty,2021-11-21,5987.482962840815
qty,2021-11-28,5954.197000546701
qty,2021-12-05,5886.488845761922
qty,2021-12-12,5914.066198508082
qty,2021-12-19,5643.406021488957
qty,2021-12-26,6485.38992081853
qty,2022-01-02,7101.8108862825175
qty,2022-01-09,7303.80128197382
qty,2022-01-16,7165.91901973702
qty,2022-01-23,6864.604178970799
qty,2022-01-30,6643.838612133959
qty,2022-02-06,6387.154271656644
qty,2022-02-13,6102.375893744442
qty,2022-02-20,5933.44842447261
qty,2022-02-27,5700.738257725334
qty,2022-03-06,5552.957981676611
qty,2022-03-13,5410.957372579551
qty,2022-03-20,5231.451862776419
qty,2022-03-27,5340.901063694486
qty,2022-04-03,5296.555818471159
qty,2022-04-10,5421.696363855345
qty,2022-04-17,5472.66504902327
qty,2022-04-24,5384.817224577035
qty,2022-05-01,5326.178665039322
qty,2022-05-08,5384.084735143104
qty,2022-05-15,5125.458772225109
qty,2022-05-22,5056.061590742387
qty,2022-05-29,4914.15388072691
qty,2022-06-05,4625.685842049645
qty,2022-06-12,4848.645569656823
qty,2022-06-19,4917.119313096641
qty,2022-06-26,4663.649724884789
qty,2022-07-03,5552.140574849775
qty,2022-07-10,6500.137269955647
qty,2022-07-17,6717.888637113918
qty,2022-07-24,6979.771055732008
qty,2022-07-31,6798.339943128263
qty,2022-08-07,6319.498444533001
qty,2022-08-28,6050.432167245721
qty,2022-09-04,5708.080639721423
qty,2022-09-11,5250.460421233833
qty,2022-09-18,4860.411541007628
qty,2022-09-25,4653.505033515741
qty,2022-10-02,4481.032761964303
qty,2022-10-09,4502.942475799107
qty,2022-10-16,4714.061400906892
qty,2022-10-23,4816.026687546315
qty,2022-10-30,4822.8587245668405
qty,2022-11-06,4671.968866343202
qty,2022-11-13,4693.3321833119735
qty,2022-11-20,4738.961302146614
qty,2022-11-27,4577.72559675754
qty,2022-12-04,4305.985367046285
qty,2022-12-11,4115.364117923556
qty,2022-12-18,3910.21292334265
qty,2022-12-25,3782.4940490286463
qty,2023-01-01,3546.9797291848236
qty,2023-01-08,3476.7575169547877
qty,2023-01-15,3539.691186385535
qty,2023-01-22,3891.065621625529
qty,2023-01-29,4101.481965200191
qty,2023-02-05,4156.660149304043
qty,2023-02-12,4033.034144921795
qty,2023-02-19,3886.943326296051
qty,2023-02-26,3986.934798673953
qty,2023-03-05,4092.3839994169593
qty,2023-03-12,4031.124150543991
qty,2023-03-19,4240.2741233654515
qty,2023-03-26,4586.17551022449
qty,2023-04-02,4865.0830737942115
qty,2023-04-09,4891.017192677078
qty,2023-04-16,4754.271652124931
qty,2023-04-23,4617.2833837046055
qty,2023-04-30,4376.695245641513
qty,2023-05-07,4114.233603039321
qty,2023-05-14,3898.3778156091594
qty,2023-05-21,3632.8958447179475
qty,2023-05-28,3595.0272231687677
qty,2023-06-04,3513.39348296103
qty,2023-06-11,3529.8730162604297
qty,2023-06-18,3652.0029036390856
qty,2023-06-25,3675.429285772445
qty,2023-07-02,3939.253588746404
qty,2023-07-09,3988.743886908842
qty,2023-07-16,4088.646849940513
qty,2023-07-23,3990.110948280657
qty,2023-07-30,3738.8152506259366
qty,2023-08-06,3612.728311466618
qty,2023-08-13,3293.3179445440683
qty,2023-08-27,2995.915960850747
qty,2023-09-03,2862.8457842974835
qty,2023-09-10,2708.264712669925
qty,2023-09-17,2608.1679793671665
qty,2023-09-24,2446.105021302279
qty,2023-10-01,2383.048901140238
qty,2023-10-08,2338.634024980892
qty,2023-10-15,2318.0797408595045
qty,2023-10-22,2225.26558908253
qty,2023-10-29,2275.47802828061
qty,2023-11-05,2277.777507335426
qty,2023-11-12,2391.9642194197377
qty,2023-11-19,2393.359313929021
qty,2023-11-26,2425.8175635894713
