date,qty,Google_imm,lvmh_stock_price,kering_stock_price,ftse_mib_price,usa_index,china_index
2018-11-25,2292.0,,,,,,
2018-12-02,1462.6938782559039,,252.5500030517578,384.0,19189.0,2760.169921875,2588.18798828125
2018-12-09,1781.2451400181355,,249.5,395.29998779296875,18742.0,2633.080078125,2605.887939453125
2018-12-16,1908.665644723028,,251.9499969482422,404.3999938964844,18911.0,2599.949951171875,2593.740966796875
2018-12-23,2137.5050948629673,,253.4499969482422,396.1000061035156,18397.0,2416.6201171875,2516.2509765625
2018-12-30,2246.4762615962723,,252.75,397.5,18324.0,2485.739990234375,2493.89599609375
2019-01-06,2299.674783938515,,251.14999389648438,397.3999938964844,18832.0,2531.93994140625,2514.867919921875
2019-01-13,2410.118344632887,,258.29998779296875,405.8999938964844,19290.0,2596.260009765625,2553.8310546875
2019-01-20,2189.0549936536136,,253.39999389648438,410.0,19708.0,2670.7099609375,2596.006103515625
2019-01-27,2066.7777378131946,,261.1000061035156,421.20001220703125,19811.0,2664.760009765625,2601.722900390625
2019-02-03,2005.728712181095,,284.6499938964844,446.20001220703125,19577.0,2706.530029296875,2618.23193359375
2019-02-10,1947.7428531386113,,283.54998779296875,440.8999938964844,19352.0,2707.8798828125,2618.23193359375
2019-02-17,1698.1197638862006,,294.20001220703125,473.5,20212.0,2775.60009765625,2682.385009765625
2019-02-24,1419.6649138916755,,299.75,480.0,20263.0,2792.669921875,2804.22607421875
2019-03-03,1667.976485706301,,306.6000061035156,495.5,20695.0,2803.68994140625,2994.0048828125
2019-03-10,1611.549734381645,,305.79998779296875,486.79998779296875,20484.0,2743.070068359375,2969.861083984375
2019-03-17,1583.337004477166,,318.6000061035156,496.29998779296875,21045.0,2822.47998046875,3021.7509765625
2019-03-24,2117.0084982999874,,313.45001220703125,492.20001220703125,21079.0,2800.7099609375,3104.14892578125
2019-03-31,2108.4116744542157,,327.8999938964844,511.20001220703125,21286.0,2834.39990234375,3090.758056640625
2019-04-07,2104.113274829197,,336.04998779296875,530.0999755859375,21759.0,2892.739990234375,3246.571044921875
2019-04-14,2004.5405182131854,,342.8999938964844,530.4000244140625,21858.0,2907.409912109375,3188.6259765625
2019-04-21,2365.923750899101,,352.29998779296875,510.3999938964844,21957.0,2905.030029296875,3270.797119140625
2019-04-28,2355.4067329416544,,346.45001220703125,529.4000244140625,21738.0,2939.8798828125,3086.39892578125
2019-05-05,2126.2707686278745,,355.04998779296875,526.0,21763.0,2945.639892578125,3086.39892578125
2019-05-12,1982.0808582277782,,333.54998779296875,507.1000061035156,20875.0,2881.39990234375,2939.2109375
2019-05-19,1970.774115414879,,340.8500061035156,522.0,21105.0,2859.530029296875,2882.2958984375
2019-05-26,1965.1207441347922,24.0,336.5,482.70001220703125,20376.0,2826.06005859375,2852.9951171875
2019-06-02,1973.2092714349021,24.0,338.6000061035156,465.95001220703125,19802.0,2752.06005859375,2898.696044921875
2019-06-09,1977.253535062358,24.0,357.04998779296875,479.6000061035156,20361.0,2873.340087890625,2827.798095703125
2019-06-16,1940.259456316116,23.0,354.0,486.45001220703125,20612.0,2886.97998046875,2881.97412109375
2019-06-23,1931.8555422404154,24.0,368.29998779296875,516.2000122070312,21389.0,2950.4599609375,3001.97998046875
2019-06-30,1927.6535852055001,24.0,374.29998779296875,520.0999755859375,21235.0,2941.760009765625,2978.8779296875
