date,qty,Google_imm,lvmh_stock_price,kering_stock_price,ftse_mib_price,usa_index,china_index
2019-02-24,1317.0,,299.75,480.0,20263.0,2792.669921875,2804.22607421875
2019-03-03,1317.0,,306.6000061035156,495.5,20695.0,2803.68994140625,2994.0048828125
2019-03-10,1317.0,,305.79998779296875,486.79998779296875,20484.0,2743.070068359375,2969.861083984375
2019-03-17,909.9604799805467,,318.6000061035156,496.29998779296875,21045.0,2822.47998046875,3021.7509765625
2019-03-24,726.1361806169225,,313.45001220703125,492.20001220703125,21079.0,2800.7099609375,3104.14892578125
2019-03-31,638.6007999675776,,327.8999938964844,511.20001220703125,21286.0,2834.39990234375,3090.758056640625
2019-04-07,595.8669920915194,,336.04998779296875,530.0999755859375,21759.0,2892.739990234375,3246.571044921875
2019-04-14,1250.1200249854899,,342.8999938964844,530.4000244140625,21858.0,2907.409912109375,3188.6259765625
2019-04-21,1210.6131420697845,,352.29998779296875,510.3999938964844,21957.0,2905.030029296875,3270.797119140625
2019-04-28,1003.500878996652,,346.45001220703125,529.4000244140625,21738.0,2939.8798828125,3086.39892578125
2019-05-05,883.2506158014015,,355.04998779296875,526.0,21763.0,2945.639892578125,3086.39892578125
2019-05-12,823.1695319192323,,333.54998779296875,507.1000061035156,20875.0,2881.39990234375,2939.2109375
2019-05-19,696.551891213165,,340.8500061035156,522.0,21105.0,2859.530029296875,2882.2958984375
2019-05-26,571.2467748182453,8.0,336.5,482.70001220703125,20376.0,2826.06005859375,2852.9951171875
2019-06-02,508.5999528088586,9.0,338.6000061035156,465.95001220703125,19802.0,2752.06005859375,2898.696044921875
2019-06-09,702.8034040323562,9.0,357.04998779296875,479.6000061035156,20361.0,2873.340087890625,2827.798095703125
2019-06-16,730.256637475626,9.0,354.0,486.45001220703125,20612.0,2886.97998046875,2881.97412109375
2019-06-23,680.6303387233215,10.0,368.29998779296875,516.2000122070312,21389.0,2950.4599609375,3001.97998046875
2019-06-30,591.4080814808012,9.0,374.29998779296875,520.0999755859375,21235.0,2941.760009765625,2978.8779296875
2019-07-07,562.8062960802265,10.0,380.79998779296875,522.2000122070312,21986.0,2990.409912109375,3011.05908203125
2019-07-14,1166.9974861422822,9.0,384.0,522.2000122070312,22183.0,3013.77001953125,2930.550048828125
2019-07-21,1311.6265814987796,10.0,382.29998779296875,522.7000122070312,21641.0,2976.610107421875,2924.199951171875
2019-07-28,1383.9411033153278,10.0,385.6000061035156,473.25,21838.0,3025.860107421875,2944.5400390625
2019-08-04,1338.992457811801,10.0,358.3999938964844,450.8999938964844,21047.0,2932.050048828125,2867.840087890625
2019-08-11,1316.5181370693986,9.0,364.3500061035156,454.6000061035156,20324.0,2918.64990234375,2774.75
2019-08-18,1305.2809772005376,10.0,348.45001220703125,432.29998779296875,20323.0,2888.679931640625,2823.820068359375
2019-08-25,1299.6623973916921,10.0,355.5,426.0,20474.0,2847.110107421875,2897.429931640625
2019-09-01,1296.8531075186659,9.0,362.3999938964844,440.3999938964844,21323.0,2926.4599609375,2886.239990234375
2019-09-08,1295.4484625900018,10.0,379.8999938964844,453.75,21947.0,2978.7099609375,2999.60009765625
2019-09-15,1294.7461401276319,8.0,382.0,468.6000061035156,22181.0,3007.389892578125,3031.239990234375
