date,qty_rol_mean,qty_rol_std,qty_rol_max,qty_rol_min,Google_imm_rol_mean,Google_imm_rol_std,Google_imm_rol_max,Google_imm_rol_min,lvmh_stock_price_rol_mean,lvmh_stock_price_rol_std,lvmh_stock_price_rol_max,lvmh_stock_price_rol_min,kering_stock_price_rol_mean,kering_stock_price_rol_std,kering_stock_price_rol_max,kering_stock_price_rol_min,qty-0,qty_V_0,qty-1,qty_V_1,qty-2,qty_V_2,qty-3,qty_V_3,qty-4,qty_V_4,qty-5,qty_V_5,Google_imm-0,Google_imm_V_0,Google_imm-1,Google_imm_V_1,Google_imm-2,Google_imm_V_2,Google_imm-3,Google_imm_V_3,Google_imm-4,Google_imm_V_4,Google_imm-5,Google_imm_V_5,lvmh_stock_price-0,lvmh_stock_price_V_0,lvmh_stock_price-1,lvmh_stock_price_V_1,lvmh_stock_price-2,lvmh_stock_price_V_2,lvmh_stock_price-3,lvmh_stock_price_V_3,lvmh_stock_price-4,lvmh_stock_price_V_4,lvmh_stock_price-5,lvmh_stock_price_V_5,kering_stock_price-0,kering_stock_price_V_0,kering_stock_price-1,kering_stock_price_V_1,kering_stock_price-2,kering_stock_price_V_2,kering_stock_price-3,kering_stock_price_V_3,kering_stock_price-4,kering_stock_price_V_4,kering_stock_price-5,kering_stock_price_V_5,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,week_of_month_1,week_of_month_2,week_of_month_3,week_of_month_4,week_of_month_5,month_variation
2019-07-28,1511.5274528182886,73.57201972826793,1588.3330785532755,1411.8240992592678,37.75,1.8929694486000892,39.0,35.0,383.1749954223633,2.079071022357191,385.6000061035156,380.7999877929688,510.08750915527344,24.559470504289276,522.7000122070312,473.25,1588.3330785532755,0.048602179735212386,1514.7146451234282,0.07287773733154389,1411.8240992592678,-0.07798519236555088,1531.237988337182,0.005913907616940424,1522.235627465138,-0.04146307846997403,1588.082413179589,-0.006016489735886914,39.0,0.02631578947368421,38.0,0.08571428571428572,35.0,-0.10256410256410256,39.0,0.11428571428571428,35.0,-0.05405405405405406,37.0,0.12121212121212122,385.6000061035156,0.008632012597222247,382.2999877929688,-0.0044271151224770655,384.0,0.008403393670198744,380.7999877929688,0.017365749965226426,374.2999877929688,0.01629106760484814,368.2999877929688,0.040395445742849735,473.25,-0.09460495705411437,522.7000122070312,0.0009574875302794328,522.2000122070312,0.0,522.2000122070312,0.004037755661741528,520.0999755859375,0.007555140036188337,516.2000122070312,0.06115736304543139,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
2019-08-04,1540.1318779207368,100.941488301926,1645.655688746975,1411.8240992592678,37.5,1.7320508075688752,39.0,35.0,377.5749969482422,12.854152593293236,385.6000061035156,358.3999938964844,492.2625045776367,36.032526296447905,522.7000122070312,450.8999938964844,1645.655688746975,0.036089791850152465,1588.3330785532755,0.048602179735212386,1514.7146451234282,0.07287773733154389,1411.8240992592678,-0.07798519236555088,1531.237988337182,0.005913907616940424,1522.235627465138,-0.04146307846997403,38.0,-0.02564102564102564,39.0,0.02631578947368421,38.0,0.08571428571428572,35.0,-0.10256410256410256,39.0,0.11428571428571428,35.0,-0.05405405405405406,358.3999938964844,-0.07053944962783355,385.6000061035156,0.008632012597222247,382.2999877929688,-0.0044271151224770655,384.0,0.008403393670198744,380.7999877929688,0.017365749965226426,374.2999877929688,0.01629106760484814,450.8999938964844,-0.04722663730272715,473.25,-0.09460495705411437,522.7000122070312,0.0009574875302794328,522.2000122070312,0.0,522.2000122070312,0.004037755661741528,520.0999755859375,0.007555140036188337,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1
2019-08-11,1605.755101566798,70.43834544050608,1674.3169938435124,1514.7146451234282,38.25,0.4999999999999911,39.0,38.0,372.6624984741211,13.326375729732845,385.6000061035156,358.3999938964844,475.3625030517578,33.039360747785416,522.7000122070312,450.8999938964844,1674.3169938435124,0.0174163437057483,1645.655688746975,0.036089791850152465,1588.3330785532755,0.048602179735212386,1514.7146451234282,0.07287773733154389,1411.8240992592678,-0.07798519236555088,1531.237988337182,0.005913907616940424,38.0,0.0,38.0,-0.02564102564102564,39.0,0.02631578947368421,38.0,0.08571428571428572,35.0,-0.10256410256410256,39.0,0.11428571428571428,364.3500061035156,0.016601596842520525,358.3999938964844,-0.07053944962783355,385.6000061035156,0.008632012597222247,382.2999877929688,-0.0044271151224770655,384.0,0.008403393670198744,380.7999877929688,0.017365749965226426,454.6000061035156,0.008205837784687756,450.8999938964844,-0.04722663730272715,473.25,-0.09460495705411437,522.7000122070312,0.0009574875302794328,522.2000122070312,0.0,522.2000122070312,0.004037755661741528,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
2019-08-18,1649.2383518838665,44.36334286612739,1688.647646391703,1588.3330785532755,38.5,0.5773502691896176,39.0,38.0,364.2000045776367,15.702281674340693,385.6000061035156,348.45001220703125,452.7624969482422,16.785881167804657,473.25,432.2999877929688,1688.647646391703,0.008559103563354218,1674.3169938435124,0.0174163437057483,1645.655688746975,0.036089791850152465,1588.3330785532755,0.048602179735212386,1514.7146451234282,0.07287773733154389,1411.8240992592678,-0.07798519236555088,39.0,0.02631578947368421,38.0,0.0,38.0,-0.02564102564102564,39.0,0.02631578947368421,38.0,0.08571428571428572,35.0,-0.10256410256410256,348.45001220703125,-0.04363934027756547,364.3500061035156,0.016601596842520525,358.3999938964844,-0.07053944962783355,385.6000061035156,0.008632012597222247,382.2999877929688,-0.0044271151224770655,384.0,0.008403393670198744,432.2999877929688,-0.049054153126141725,454.6000061035156,0.008205837784687756,450.8999938964844,-0.04722663730272715,473.25,-0.09460495705411437,522.7000122070312,0.0009574875302794328,522.2000122070312,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
2019-08-25,1676.1083254119922,22.18167143288225,1695.8129726657785,1645.655688746975,37.75,1.2583057392117887,39.0,36.0,356.6750030517578,6.6058653691591145,364.3500061035156,348.45001220703125,440.9499969482422,13.94812121575118,454.6000061035156,426.0,1695.8129726657785,0.004243233506638548,1688.647646391703,0.008559103563354218,1674.3169938435124,0.0174163437057483,1645.655688746975,0.036089791850152465,1588.3330785532755,0.048602179735212386,1514.7146451234282,0.07287773733154389,36.0,-0.07692307692307693,39.0,0.02631578947368421,38.0,0.0,38.0,-0.02564102564102564,39.0,0.02631578947368421,38.0,0.08571428571428572,355.5,0.020232422287246202,348.45001220703125,-0.04363934027756547,364.3500061035156,0.016601596842520525,358.3999938964844,-0.07053944962783355,385.6000061035156,0.008632012597222247,382.2999877929688,-0.0044271151224770655,426.0,-0.014573185220597116,432.2999877929688,-0.049054153126141725,454.6000061035156,0.008205837784687756,450.8999938964844,-0.04722663730272715,473.25,-0.09460495705411437,522.7000122070312,0.0009574875302794328,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
2019-09-01,1672.6467648135758,28.65413083406571,1695.8129726657785,1631.809446353309,38.75,2.499999999999999,42.0,36.0,357.6750030517578,7.227546807969713,364.3500061035156,348.45001220703125,438.3249969482422,12.347574936463955,454.6000061035156,426.0,1631.809446353309,-0.03774209028007217,1695.8129726657785,0.004243233506638548,1688.647646391703,0.008559103563354218,1674.3169938435124,0.0174163437057483,1645.655688746975,0.036089791850152465,1588.3330785532755,0.048602179735212386,42.0,0.16666666666666666,36.0,-0.07692307692307693,39.0,0.02631578947368421,38.0,0.0,38.0,-0.02564102564102564,39.0,0.02631578947368421,362.3999938964844,0.01940926553160162,355.5,0.020232422287246202,348.45001220703125,-0.04363934027756547,364.3500061035156,0.016601596842520525,358.3999938964844,-0.07053944962783355,385.6000061035156,0.008632012597222247,440.3999938964844,0.033802802573906984,426.0,-0.014573185220597116,432.2999877929688,-0.049054153126141725,454.6000061035156,0.008205837784687756,450.8999938964844,-0.04722663730272715,473.25,-0.09460495705411437,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
2019-09-08,1646.1859788627235,59.1937253893479,1695.8129726657785,1568.4738500401031,39.5,2.64575131106459,42.0,36.0,361.5625,13.48649102869255,379.8999938964844,348.45001220703125,438.1124954223633,11.975836630249523,453.75,426.0,1568.4738500401031,-0.03881310802235237,1631.809446353309,-0.03774209028007217,1695.8129726657785,0.004243233506638548,1688.647646391703,0.008559103563354218,1674.3169938435124,0.0174163437057483,1645.655688746975,0.036089791850152465,41.0,-0.023809523809523808,42.0,0.16666666666666666,36.0,-0.07692307692307693,39.0,0.02631578947368421,38.0,0.0,38.0,-0.02564102564102564,379.8999938964844,0.04828918403624114,362.3999938964844,0.01940926553160162,355.5,0.020232422287246202,348.45001220703125,-0.04363934027756547,364.3500061035156,0.016601596842520525,358.3999938964844,-0.07053944962783355,453.75,0.03031336577777867,440.3999938964844,0.033802802573906984,426.0,-0.014573185220597116,432.2999877929688,-0.049054153126141725,454.6000061035156,0.008205837784687756,450.8999938964844,-0.04722663730272715,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
2019-09-15,1617.9232145395883,59.15072477864915,1695.8129726657785,1568.4738500401031,40.0,2.7080128015453195,42.0,36.0,369.9499969482422,13.038532262786468,382.0,355.5,447.1875,18.22582617458332,468.6000061035156,426.0,1575.5965890991622,0.004541190826278021,1568.4738500401031,-0.03881310802235237,1631.809446353309,-0.03774209028007217,1695.8129726657785,0.004243233506638548,1688.647646391703,0.008559103563354218,1674.3169938435124,0.0174163437057483,41.0,0.0,41.0,-0.023809523809523808,42.0,0.16666666666666666,36.0,-0.07692307692307693,39.0,0.02631578947368421,38.0,0.0,382.0,0.005527786620833264,379.8999938964844,0.04828918403624114,362.3999938964844,0.01940926553160162,355.5,0.020232422287246202,348.45001220703125,-0.04363934027756547,364.3500061035156,0.016601596842520525,468.6000061035156,0.03272728617854683,453.75,0.03031336577777867,440.3999938964844,0.033802802573906984,426.0,-0.014573185220597116,432.2999877929688,-0.049054153126141725,454.6000061035156,0.008205837784687756,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
2019-09-22,1549.4012808927582,89.70736630697529,1631.809446353309,1421.7252380784582,41.75,0.9574271077563341,43.0,41.0,373.5874938964844,9.097472558795403,382.0,362.3999938964844,457.9250030517578,13.663370904277023,468.9500122070313,440.3999938964844,1421.7252380784582,-0.09765910391357155,1575.5965890991622,0.004541190826278021,1568.4738500401031,-0.03881310802235237,1631.809446353309,-0.03774209028007217,1695.8129726657785,0.004243233506638548,1688.647646391703,0.008559103563354218,43.0,0.04878048780487805,41.0,0.0,41.0,-0.023809523809523808,42.0,0.16666666666666666,36.0,-0.07692307692307693,39.0,0.02631578947368421,370.0499877929688,-0.031282754468668045,382.0,0.005527786620833264,379.8999938964844,0.04828918403624114,362.3999938964844,0.01940926553160162,355.5,0.020232422287246202,348.45001220703125,-0.04363934027756547,468.9500122070313,0.0007469186917559794,468.6000061035156,0.03272728617854683,453.75,0.03031336577777867,440.3999938964844,0.033802802573906984,426.0,-0.014573185220597116,432.2999877929688,-0.049054153126141725,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
2019-09-29,1511.0929737779786,74.1557211714595,1575.5965890991622,1421.7252380784582,41.75,0.9574271077563341,43.0,41.0,373.0249938964844,10.040462238265496,382.0,360.1499938964844,464.0125045776367,7.101339111846365,468.9500122070313,453.75,1478.5762178941911,0.03998731843050785,1421.7252380784582,-0.09765910391357155,1575.5965890991622,0.004541190826278021,1568.4738500401031,-0.03881310802235237,1631.809446353309,-0.03774209028007217,1695.8129726657785,0.004243233506638548,42.0,-0.023255813953488372,43.0,0.04878048780487805,41.0,0.0,41.0,-0.023809523809523808,42.0,0.16666666666666666,36.0,-0.07692307692307693,360.1499938964844,-0.02675312585612937,370.0499877929688,-0.031282754468668045,382.0,0.005527786620833264,379.8999938964844,0.04828918403624114,362.3999938964844,0.01940926553160162,355.5,0.020232422287246202,464.75,-0.008956204494514635,468.9500122070313,0.0007469186917559794,468.6000061035156,0.03272728617854683,453.75,0.03031336577777867,440.3999938964844,0.033802802573906984,426.0,-0.014573185220597116,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
