date,qty_rol_mean,qty_rol_std,qty_rol_max,qty_rol_min,lvmh_stock_price_rol_mean,lvmh_stock_price_rol_std,lvmh_stock_price_rol_max,lvmh_stock_price_rol_min,kering_stock_price_rol_mean,kering_stock_price_rol_std,kering_stock_price_rol_max,kering_stock_price_rol_min,qty-0,qty_V_0,qty-1,qty_V_1,qty-2,qty_V_2,qty-3,qty_V_3,qty-4,qty_V_4,qty-5,qty_V_5,lvmh_stock_price-0,lvmh_stock_price_V_0,lvmh_stock_price-1,lvmh_stock_price_V_1,lvmh_stock_price-2,lvmh_stock_price_V_2,lvmh_stock_price-3,lvmh_stock_price_V_3,lvmh_stock_price-4,lvmh_stock_price_V_4,lvmh_stock_price-5,lvmh_stock_price_V_5,kering_stock_price-0,kering_stock_price_V_0,kering_stock_price-1,kering_stock_price_V_1,kering_stock_price-2,kering_stock_price_V_2,kering_stock_price-3,kering_stock_price_V_3,kering_stock_price-4,kering_stock_price_V_4,kering_stock_price-5,kering_stock_price_V_5,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,week_of_month_1,week_of_month_2,week_of_month_3,week_of_month_4,week_of_month_5,month_variation
2020-04-05,3756.5206386421974,178.58376653737895,4001.693621800229,3597.879296598765,323.1499938964844,13.681433020597538,341.6499938964844,311.0,439.2250061035156,33.447607549195844,479.5,405.0,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0
2020-04-12,3648.356087248948,89.29188326867373,3770.942578827964,3569.0354162272315,331.2749938964844,16.507395600066555,347.3999938964844,311.0,456.40000915527344,27.039966938066982,479.5,419.7000122070313,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
2020-04-19,3594.2738115523234,44.64594163430373,3655.567057341831,3554.613476041465,343.0249938964844,13.764482097313103,358.0,325.04998779296875,477.3250045776367,20.849991942481672,503.3999938964844,452.7000122070313,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2020-04-26,3444.601212503298,259.10812927848735,3597.879296598765,3056.8766611457304,342.8249969482422,13.796894022497685,358.0,325.04998779296875,470.2875061035156,24.331261739820214,503.3999938964844,451.3500061035156,3056.8766611457304,-0.14002558034805826,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,340.8500061035156,-0.047905010884034566,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,451.3500061035156,-0.10339687807718159,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2020-05-03,3209.5405947849495,438.26014609241923,3569.0354162272315,2657.6368257253707,349.6750030517578,7.304393376435846,358.0,340.8500061035156,472.1625061035157,22.762586152922463,503.3999938964844,451.3500061035156,2657.6368257253707,-0.13060384165801536,3056.8766611457304,-0.14002558034805826,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,352.45001220703125,0.03403258294204848,340.8500061035156,-0.047905010884034566,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,460.2000122070313,0.01960785639490157,451.3500061035156,-0.10339687807718159,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
2020-05-10,2925.0892795114905,492.9828522178091,3554.613476041465,2431.2301551333944,350.8875045776367,7.202702979183199,358.0,340.8500061035156,465.6125030517578,25.746657436666105,503.3999938964844,447.5,2431.2301551333944,-0.08519097432742011,2657.6368257253707,-0.13060384165801536,3056.8766611457304,-0.14002558034805826,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,352.25,-0.0005674909919247261,352.45001220703125,0.03403258294204848,340.8500061035156,-0.047905010884034566,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,447.5,-0.027596722881697625,460.2000122070313,0.01960785639490157,451.3500061035156,-0.10339687807718159,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
2020-05-17,2693.7663786640014,262.19126915313484,3056.8766611457304,2431.2301551333944,343.9500045776367,10.621364784838809,352.45001220703125,330.25,442.6000061035156,21.5011252033421,460.2000122070313,411.3500061035156,2629.3218726515097,0.0814779781748991,2431.2301551333944,-0.08519097432742011,2657.6368257253707,-0.13060384165801536,3056.8766611457304,-0.14002558034805826,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,330.25,-0.06245564229950319,352.25,-0.0005674909919247261,352.45001220703125,0.03403258294204848,340.8500061035156,-0.047905010884034566,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,411.3500061035156,-0.08078210926588687,447.5,-0.027596722881697625,460.2000122070313,0.01960785639490157,451.3500061035156,-0.10339687807718159,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
2020-05-24,2562.84110273063,102.64405807421538,2657.6368257253707,2431.2301551333944,347.5625,11.625429102047875,355.29998779296875,330.25,435.4875030517578,22.331385517110977,460.2000122070313,411.3500061035156,2533.1755574122462,-0.03656696285050327,2629.3218726515097,0.0814779781748991,2431.2301551333944,-0.08519097432742011,2657.6368257253707,-0.13060384165801536,3056.8766611457304,-0.14002558034805826,3554.613476041465,-0.004040850959392128,355.29998779296875,0.07585159059188115,330.25,-0.06245564229950319,352.25,-0.0005674909919247261,352.45001220703125,0.03403258294204848,340.8500061035156,-0.047905010884034566,358.0,0.030512395767842572,422.8999938964844,0.02807824874581918,411.3500061035156,-0.08078210926588687,447.5,-0.027596722881697625,460.2000122070313,0.01960785639490157,451.3500061035156,-0.10339687807718159,503.3999938964844,0.06269786979965845,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
2020-05-31,2468.731329439641,148.90440906890694,2629.3218726515097,2281.1977325614143,353.1999969482422,18.323527214400116,375.0,330.25,437.8375015258789,25.993185784834232,469.6000061035156,411.3500061035156,2281.1977325614143,-0.09947112592079432,2533.1755574122462,-0.03656696285050327,2629.3218726515097,0.0814779781748991,2431.2301551333944,-0.08519097432742011,2657.6368257253707,-0.13060384165801536,3056.8766611457304,-0.14002558034805826,375.0,0.055446138147661105,355.29998779296875,0.07585159059188115,330.25,-0.06245564229950319,352.25,-0.0005674909919247261,352.45001220703125,0.03403258294204848,340.8500061035156,-0.047905010884034566,469.6000061035156,0.11042802762125903,422.8999938964844,0.02807824874581918,411.3500061035156,-0.08078210926588687,447.5,-0.027596722881697625,460.2000122070313,0.01960785639490157,451.3500061035156,-0.10339687807718159,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
2020-06-07,2403.801340104208,213.37605151769117,2629.3218726515097,2171.510197791661,366.1999969482422,31.286073931348422,404.25,330.25,459.9874954223633,56.64685379589008,536.0999755859375,411.3500061035156,2171.510197791661,-0.04808330869529314,2281.1977325614143,-0.09947112592079432,2533.1755574122462,-0.03656696285050327,2629.3218726515097,0.0814779781748991,2431.2301551333944,-0.08519097432742011,2657.6368257253707,-0.13060384165801536,404.25,0.078,375.0,0.055446138147661105,355.29998779296875,0.07585159059188115,330.25,-0.06245564229950319,352.25,-0.0005674909919247261,352.45001220703125,0.03403258294204848,536.0999755859375,0.14160981392270905,469.6000061035156,0.11042802762125903,422.8999938964844,0.02807824874581918,411.3500061035156,-0.08078210926588687,447.5,-0.027596722881697625,460.2000122070313,0.01960785639490157,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
