date,qty_rol_mean,qty_rol_std,qty_rol_max,qty_rol_min,Google_imm_rol_mean,Google_imm_rol_std,Google_imm_rol_max,Google_imm_rol_min,lvmh_stock_price_rol_mean,lvmh_stock_price_rol_std,lvmh_stock_price_rol_max,lvmh_stock_price_rol_min,kering_stock_price_rol_mean,kering_stock_price_rol_std,kering_stock_price_rol_max,kering_stock_price_rol_min,qty-0,qty_V_0,qty-1,qty_V_1,qty-2,qty_V_2,qty-3,qty_V_3,qty-4,qty_V_4,qty-5,qty_V_5,Google_imm-0,Google_imm_V_0,Google_imm-1,Google_imm_V_1,Google_imm-2,Google_imm_V_2,Google_imm-3,Google_imm_V_3,Google_imm-4,Google_imm_V_4,Google_imm-5,Google_imm_V_5,lvmh_stock_price-0,lvmh_stock_price_V_0,lvmh_stock_price-1,lvmh_stock_price_V_1,lvmh_stock_price-2,lvmh_stock_price_V_2,lvmh_stock_price-3,lvmh_stock_price_V_3,lvmh_stock_price-4,lvmh_stock_price_V_4,lvmh_stock_price-5,lvmh_stock_price_V_5,kering_stock_price-0,kering_stock_price_V_0,kering_stock_price-1,kering_stock_price_V_1,kering_stock_price-2,kering_stock_price_V_2,kering_stock_price-3,kering_stock_price_V_3,kering_stock_price-4,kering_stock_price_V_4,kering_stock_price-5,kering_stock_price_V_5,month,day,month_variation
2021-02-28,1825.6353620846867,88.89972086182144,1878.5838081073064,1692.852041865419,22.5,1.290994448735806,24.0,21.0,531.1999969482422,7.318008075128599,541.7999877929688,525.0,537.4500122070312,12.772495155104426,549.0,524.9000244140625,1692.852041865419,-0.08934049880827827,1858.9297532723176,-0.007075239142786072,1872.1758450937032,-0.003411060494585699,1878.5838081073064,-0.05785900690793918,1993.9518839339385,0.03853822258378085,1919.9600366880888,-0.008695722479469696,21.0,-0.125,24.0,0.043478260869565216,23.0,0.045454545454545456,22.0,-0.18518518518518517,27.0,0.125,24.0,-0.1111111111111111,525.0,-0.031007730106092802,541.7999877929688,0.023616097276180685,529.2999877929688,0.0011348128845939166,528.7000122070312,0.061007475735064425,498.2999877929688,-0.02580647547806685,511.5,0.035529886343261985,524.9000244140625,-0.005871165882457386,528.0,-0.03632053938187731,547.9000244140625,-0.002003598517190346,549.0,0.013663265782197793,541.5999755859375,-0.004411809584673713,544.0,-0.031683852224518555,2,28,0
2021-03-07,1758.4427065983523,128.35594128115576,1872.1758450937032,1609.81318616197,22.75,1.258305739211792,24.0,21.0,529.8249969482422,8.383457097487936,541.7999877929688,523.2000122070312,534.9500122070312,10.542139909305618,547.9000244140625,524.9000244140625,1609.81318616197,-0.04905263640875869,1692.852041865419,-0.08934049880827827,1858.9297532723176,-0.007075239142786072,1872.1758450937032,-0.003411060494585699,1878.5838081073064,-0.05785900690793918,1993.9518839339385,0.03853822258378085,23.0,0.09523809523809523,21.0,-0.125,24.0,0.043478260869565216,23.0,0.045454545454545456,22.0,-0.18518518518518517,27.0,0.125,523.2000122070312,-0.0034285481770833333,525.0,-0.031007730106092802,541.7999877929688,0.023616097276180685,529.2999877929688,0.0011348128845939166,528.7000122070312,0.061007475735064425,498.2999877929688,-0.02580647547806685,539.0,0.026862211716749445,524.9000244140625,-0.005871165882457386,528.0,-0.03632053938187731,547.9000244140625,-0.002003598517190346,549.0,0.013663265782197793,541.5999755859375,-0.004411809584673713,3,7,0
2021-03-14,1691.3043200477462,118.92521885989554,1858.9297532723176,1603.6222988912784,22.5,1.290994448735806,24.0,21.0,538.3500061035156,18.68288672416325,563.4000244140625,523.2000122070312,547.0750122070312,33.43525497477254,596.4000244140625,524.9000244140625,1603.6222988912784,-0.0038457178285708415,1609.81318616197,-0.04905263640875869,1692.852041865419,-0.08934049880827827,1858.9297532723176,-0.007075239142786072,1872.1758450937032,-0.003411060494585699,1878.5838081073064,-0.05785900690793918,22.0,-0.043478260869565216,23.0,0.09523809523809523,21.0,-0.125,24.0,0.043478260869565216,23.0,0.045454545454545456,22.0,-0.18518518518518517,563.4000244140625,0.07683488392413115,523.2000122070312,-0.0034285481770833333,525.0,-0.031007730106092802,541.7999877929688,0.023616097276180685,529.2999877929688,0.0011348128845939166,528.7000122070312,0.061007475735064425,596.4000244140625,0.10649355178861317,539.0,0.026862211716749445,524.9000244140625,-0.005871165882457386,528.0,-0.03632053938187731,547.9000244140625,-0.002003598517190346,549.0,0.013663265782197793,3,14,0
2021-03-21,1585.9312311587853,107.02927945947958,1692.852041865419,1437.437397716473,22.0,0.8164965809277268,23.0,21.0,542.2500152587891,21.113276292209196,563.4000244140625,523.2000122070312,563.4750061035156,36.871966556249,596.4000244140625,524.9000244140625,1437.437397716473,-0.10363094931375255,1603.6222988912784,-0.0038457178285708415,1609.81318616197,-0.04905263640875869,1692.852041865419,-0.08934049880827827,1858.9297532723176,-0.007075239142786072,1872.1758450937032,-0.003411060494585699,22.0,0.0,22.0,-0.043478260869565216,23.0,0.09523809523809523,21.0,-0.125,24.0,0.043478260869565216,23.0,0.045454545454545456,557.4000244140625,-0.010649626801560784,563.4000244140625,0.07683488392413115,523.2000122070312,-0.0034285481770833333,525.0,-0.031007730106092802,541.7999877929688,0.023616097276180685,529.2999877929688,0.0011348128845939166,593.5999755859375,-0.004694917359998313,596.4000244140625,0.10649355178861317,539.0,0.026862211716749445,524.9000244140625,-0.005871165882457386,528.0,-0.03632053938187731,547.9000244140625,-0.002003598517190346,3,21,0
2021-03-28,1521.823597745735,98.06076828622517,1609.81318616197,1436.421508213219,22.75,0.9574271077563392,24.0,22.0,549.7250213623047,18.039476596094755,563.4000244140625,523.2000122070312,573.4750061035156,27.034713598255987,596.4000244140625,539.0,1436.421508213219,-0.0007067365193557327,1437.437397716473,-0.10363094931375255,1603.6222988912784,-0.0038457178285708415,1609.81318616197,-0.04905263640875869,1692.852041865419,-0.08934049880827827,1858.9297532723176,-0.007075239142786072,24.0,0.09090909090909091,22.0,0.0,22.0,-0.043478260869565216,23.0,0.09523809523809523,21.0,-0.125,24.0,0.043478260869565216,554.9000244140625,-0.004485109240222933,557.4000244140625,-0.010649626801560784,563.4000244140625,0.07683488392413115,523.2000122070312,-0.0034285481770833333,525.0,-0.031007730106092802,541.7999877929688,0.023616097276180685,564.9000244140625,-0.04834897633468654,593.5999755859375,-0.004694917359998313,596.4000244140625,0.10649355178861317,539.0,0.026862211716749445,524.9000244140625,-0.005871165882457386,528.0,-0.03632053938187731,3,28,0
2021-04-04,1472.4212371938336,88.24155218081269,1603.6222988912784,1412.2037439543633,22.75,0.9574271077563392,24.0,22.0,561.8500213623047,7.472834346743967,571.7000122070312,554.9000244140625,588.5750122070312,15.96002307098475,599.4000244140625,564.9000244140625,1412.2037439543633,-0.01685978949798696,1436.421508213219,-0.0007067365193557327,1437.437397716473,-0.10363094931375255,1603.6222988912784,-0.0038457178285708415,1609.81318616197,-0.04905263640875869,1692.852041865419,-0.08934049880827827,23.0,-0.041666666666666664,24.0,0.09090909090909091,22.0,0.0,22.0,-0.043478260869565216,23.0,0.09523809523809523,21.0,-0.125,571.7000122070312,0.03027570202525837,554.9000244140625,-0.004485109240222933,557.4000244140625,-0.010649626801560784,563.4000244140625,0.07683488392413115,523.2000122070312,-0.0034285481770833333,525.0,-0.031007730106092802,599.4000244140625,0.061072753600577054,564.9000244140625,-0.04834897633468654,593.5999755859375,-0.004694917359998313,596.4000244140625,0.10649355178861317,539.0,0.026862211716749445,524.9000244140625,-0.005871165882457386,4,4,0
2021-04-11,1399.3941069533764,59.7365311056057,1437.437397716473,1311.5137779294505,24.0,2.1602468994692874,27.0,22.0,568.0750122070312,15.381004845552287,588.2999877929688,554.9000244140625,592.4500122070312,19.89078419517495,611.9000244140625,564.9000244140625,1311.5137779294505,-0.07129988605112117,1412.2037439543633,-0.01685978949798696,1436.421508213219,-0.0007067365193557327,1437.437397716473,-0.10363094931375255,1603.6222988912784,-0.0038457178285708415,1609.81318616197,-0.04905263640875869,27.0,0.17391304347826086,23.0,-0.041666666666666664,24.0,0.09090909090909091,22.0,0.0,22.0,-0.043478260869565216,23.0,0.09523809523809523,588.2999877929688,0.029036164476984663,571.7000122070312,0.03027570202525837,554.9000244140625,-0.004485109240222933,557.4000244140625,-0.010649626801560784,563.4000244140625,0.07683488392413115,523.2000122070312,-0.0034285481770833333,611.9000244140625,0.02085418667144575,599.4000244140625,0.061072753600577054,564.9000244140625,-0.04834897633468654,593.5999755859375,-0.004694917359998313,596.4000244140625,0.10649355178861317,539.0,0.026862211716749445,4,11,0
2021-04-18,1358.5510598009823,78.08709262985381,1436.421508213219,1274.065209106897,25.75,2.753785273643051,29.0,23.0,586.2250061035156,32.211724393385744,630.0,554.9000244140625,602.8000183105469,29.255303950650198,635.0,564.9000244140625,1274.065209106897,-0.02855369836958575,1311.5137779294505,-0.07129988605112117,1412.2037439543633,-0.01685978949798696,1436.421508213219,-0.0007067365193557327,1437.437397716473,-0.10363094931375255,1603.6222988912784,-0.0038457178285708415,29.0,0.07407407407407407,27.0,0.17391304347826086,23.0,-0.041666666666666664,24.0,0.09090909090909091,22.0,0.0,22.0,-0.043478260869565216,630.0,0.07088222517812814,588.2999877929688,0.029036164476984663,571.7000122070312,0.03027570202525837,554.9000244140625,-0.004485109240222933,557.4000244140625,-0.010649626801560784,563.4000244140625,0.07683488392413115,635.0,0.03775122514181521,611.9000244140625,0.02085418667144575,599.4000244140625,0.061072753600577054,564.9000244140625,-0.04834897633468654,593.5999755859375,-0.004694917359998313,596.4000244140625,0.10649355178861317,4,18,1
2021-04-25,1335.6999324204291,58.661316299888945,1412.2037439543633,1274.065209106897,26.5,2.516611478423583,29.0,23.0,604.5249938964844,29.128942901086646,630.0,571.7000122070312,623.7750091552734,22.266605182196994,648.7999877929688,599.4000244140625,1345.0169986910057,0.055689292099770055,1274.065209106897,-0.02855369836958575,1311.5137779294505,-0.07129988605112117,1412.2037439543633,-0.01685978949798696,1436.421508213219,-0.0007067365193557327,1437.437397716473,-0.10363094931375255,27.0,-0.06896551724137931,29.0,0.07407407407407407,27.0,0.17391304347826086,23.0,-0.041666666666666664,24.0,0.09090909090909091,22.0,0.0,628.0999755859375,-0.0030159117683531745,630.0,0.07088222517812814,588.2999877929688,0.029036164476984663,571.7000122070312,0.03027570202525837,554.9000244140625,-0.004485109240222933,557.4000244140625,-0.010649626801560784,648.7999877929688,0.02173226424089567,635.0,0.03775122514181521,611.9000244140625,0.02085418667144575,599.4000244140625,0.061072753600577054,564.9000244140625,-0.04834897633468654,593.5999755859375,-0.004694917359998313,4,25,1
2021-05-02,1331.8507627118286,52.1070505397717,1396.8070651199614,1274.065209106897,27.25,1.2583057392117916,29.0,26.0,618.1499938964844,19.960381087326542,630.0,588.2999877929688,640.5500030517578,23.04407660447603,666.5,611.9000244140625,1396.8070651199614,0.03850513895315725,1345.0169986910057,0.055689292099770055,1274.065209106897,-0.02855369836958575,1311.5137779294505,-0.07129988605112117,1412.2037439543633,-0.01685978949798696,1436.421508213219,-0.0007067365193557327,26.0,-0.037037037037037035,27.0,-0.06896551724137931,29.0,0.07407407407407407,27.0,0.17391304347826086,23.0,-0.041666666666666664,24.0,0.09090909090909091,626.2000122070312,-0.003024937832761139,628.0999755859375,-0.0030159117683531745,630.0,0.07088222517812814,588.2999877929688,0.029036164476984663,571.7000122070312,0.03027570202525837,554.9000244140625,-0.004485109240222933,666.5,0.027281153730044923,648.7999877929688,0.02173226424089567,635.0,0.03775122514181521,611.9000244140625,0.02085418667144575,599.4000244140625,0.061072753600577054,564.9000244140625,-0.04834897633468654,5,2,1
