date,qty_rol_mean,qty_rol_std,qty_rol_max,qty_rol_min,Google_imm_rol_mean,Google_imm_rol_std,Google_imm_rol_max,Google_imm_rol_min,lvmh_stock_price_rol_mean,lvmh_stock_price_rol_std,lvmh_stock_price_rol_max,lvmh_stock_price_rol_min,kering_stock_price_rol_mean,kering_stock_price_rol_std,kering_stock_price_rol_max,kering_stock_price_rol_min,ftse_mib_price_rol_mean,ftse_mib_price_rol_std,ftse_mib_price_rol_max,ftse_mib_price_rol_min,usa_index_rol_mean,usa_index_rol_std,usa_index_rol_max,usa_index_rol_min,china_index_rol_mean,china_index_rol_std,china_index_rol_max,china_index_rol_min,qty-0,qty_V_0,qty-1,qty_V_1,qty-2,qty_V_2,qty-3,qty_V_3,qty-4,qty_V_4,qty-5,qty_V_5,qty-6,qty_V_6,qty-7,qty_V_7,Google_imm-0,Google_imm_V_0,Google_imm-1,Google_imm_V_1,Google_imm-2,Google_imm_V_2,Google_imm-3,Google_imm_V_3,Google_imm-4,Google_imm_V_4,Google_imm-5,Google_imm_V_5,Google_imm-6,Google_imm_V_6,Google_imm-7,Google_imm_V_7,lvmh_stock_price-0,lvmh_stock_price_V_0,lvmh_stock_price-1,lvmh_stock_price_V_1,lvmh_stock_price-2,lvmh_stock_price_V_2,lvmh_stock_price-3,lvmh_stock_price_V_3,lvmh_stock_price-4,lvmh_stock_price_V_4,lvmh_stock_price-5,lvmh_stock_price_V_5,lvmh_stock_price-6,lvmh_stock_price_V_6,lvmh_stock_price-7,lvmh_stock_price_V_7,kering_stock_price-0,kering_stock_price_V_0,kering_stock_price-1,kering_stock_price_V_1,kering_stock_price-2,kering_stock_price_V_2,kering_stock_price-3,kering_stock_price_V_3,kering_stock_price-4,kering_stock_price_V_4,kering_stock_price-5,kering_stock_price_V_5,kering_stock_price-6,kering_stock_price_V_6,kering_stock_price-7,kering_stock_price_V_7,ftse_mib_price-0,ftse_mib_price_V_0,ftse_mib_price-1,ftse_mib_price_V_1,ftse_mib_price-2,ftse_mib_price_V_2,ftse_mib_price-3,ftse_mib_price_V_3,ftse_mib_price-4,ftse_mib_price_V_4,ftse_mib_price-5,ftse_mib_price_V_5,ftse_mib_price-6,ftse_mib_price_V_6,ftse_mib_price-7,ftse_mib_price_V_7,usa_index-0,usa_index_V_0,usa_index-1,usa_index_V_1,usa_index-2,usa_index_V_2,usa_index-3,usa_index_V_3,usa_index-4,usa_index_V_4,usa_index-5,usa_index_V_5,usa_index-6,usa_index_V_6,usa_index-7,usa_index_V_7,china_index-0,china_index_V_0,china_index-1,china_index_V_1,china_index-2,china_index_V_2,china_index-3,china_index_V_3,china_index-4,china_index_V_4,china_index-5,china_index_V_5,china_index-6,china_index_V_6,china_index-7,china_index_V_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,week_of_month_1,week_of_month_2,week_of_month_3,week_of_month_4,week_of_month_5,month_variation
2021-11-21,1809.4840797556967,35.22579787934713,1831.157624519325,1757.2102597052497,45.0,9.521904571390467,55.0,35.0,710.6250152587891,24.455041737149184,733.5,677.2000122070312,675.7000122070312,30.04297209875119,716.9000244140625,648.2000122070312,27435.25,424.50549662715156,27796.0,26876.0,4670.929931640625,44.260870416401325,4697.9599609375,4605.3798828125,3534.5950927734375,29.990190501270643,3560.3701171875,3491.570068359375,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,1819.680920444694,-0.006267458312139364,1831.157624519325,-0.009844836161324623,1849.3643131852343,0.04467497573603301,1770.2772212785626,-0.008337337445950452,1785.160708500584,-0.029897900528922557,1840.1781724561731,-0.005187878143697028,51.0,-0.07272727272727272,55.0,0.41025641025641024,39.0,0.11428571428571428,35.0,-0.027777777777777776,36.0,0.058823529411764705,34.0,0.0,34.0,-0.02857142857142857,35.0,0.029411764705882353,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,708.9000244140625,0.04681041292914217,677.2000122070312,0.014835942747138195,667.2999877929688,0.003760529551601838,664.7999877929688,0.05910462779105538,627.7000122070312,-0.0036507742745535716,630.0,-0.020065366190986773,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,659.9000244140625,0.018050003064940295,648.2000122070312,0.0032503276589497796,646.0999755859375,-0.033941406431451944,668.7999877929688,0.06666664719771731,627.0,-0.00047822062618588256,627.2999877929688,-0.01025560133352863,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,27796.0,0.03423128441732401,26876.0,0.011440614180340208,26572.0,0.003133376118388765,26489.0,0.016813174158381634,26051.0,0.01702127659574468,25615.0,-0.013631637721899188,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,4697.52978515625,0.02000918592788792,4605.3798828125,0.01330721946979761,4544.89990234375,0.016444575874765735,4471.3701171875,0.01822456841991028,4391.33984375,0.007872272088387844,4357.0400390625,-0.022094127195672726,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,3491.570068359375,-0.0157216444291962,3547.340087890625,-0.009842016637216145,3582.60009765625,0.0028636395818930393,3572.3701171875,-0.00551193432329758,3592.169921875,0.0067261370746011144,3568.169921875,-0.012427145235177597,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
2021-11-28,1752.3320846866868,104.89564084596398,1829.8875143535176,1602.549644243286,48.25,6.800735254367721,55.0,39.0,714.3250122070312,17.972642671657255,733.5,692.0,680.0250091552734,25.69506030474468,716.9000244140625,659.9000244140625,27179.5,907.3288635696898,27796.0,25853.0,4668.239990234375,49.57993442068062,4697.9599609375,4594.6201171875,3538.7825927734375,33.344733668818385,3564.090087890625,3491.570068359375,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,1819.680920444694,-0.006267458312139364,1831.157624519325,-0.009844836161324623,1849.3643131852343,0.04467497573603301,1770.2772212785626,-0.008337337445950452,1785.160708500584,-0.029897900528922557,48.0,-0.058823529411764705,51.0,-0.07272727272727272,55.0,0.41025641025641024,39.0,0.11428571428571428,35.0,-0.027777777777777776,36.0,0.058823529411764705,34.0,0.0,34.0,-0.02857142857142857,692.0,-0.05657805044308112,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,708.9000244140625,0.04681041292914217,677.2000122070312,0.014835942747138195,667.2999877929688,0.003760529551601838,664.7999877929688,0.05910462779105538,627.7000122070312,-0.0036507742745535716,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,659.9000244140625,0.018050003064940295,648.2000122070312,0.0032503276589497796,646.0999755859375,-0.033941406431451944,668.7999877929688,0.06666664719771731,627.0,-0.00047822062618588256,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,27796.0,0.03423128441732401,26876.0,0.011440614180340208,26572.0,0.003133376118388765,26489.0,0.016813174158381634,26051.0,0.01702127659574468,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,4697.52978515625,0.02000918592788792,4605.3798828125,0.01330721946979761,4544.89990234375,0.016444575874765735,4471.3701171875,0.01822456841991028,4391.33984375,0.007872272088387844,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,3491.570068359375,-0.0157216444291962,3547.340087890625,-0.009842016637216145,3582.60009765625,0.0028636395818930393,3572.3701171875,-0.00551193432329758,3592.169921875,0.0067261370746011144,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
2021-12-05,1678.3082457354863,140.09553434320372,1829.8875143535176,1523.5855646398911,51.0,2.943920288775946,55.0,48.0,708.3500061035156,23.500146882162966,733.5,685.0,686.0500030517578,21.956712775856563,716.9000244140625,665.5,26715.25,960.2764792843074,27732.0,25853.0,4628.465087890625,75.36363868481683,4697.9599609375,4538.43017578125,3567.74755859375,28.654095009520113,3607.429931640625,3539.10009765625,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,1819.680920444694,-0.006267458312139364,1831.157624519325,-0.009844836161324623,1849.3643131852343,0.04467497573603301,1770.2772212785626,-0.008337337445950452,50.0,0.041666666666666664,48.0,-0.058823529411764705,51.0,-0.07272727272727272,55.0,0.41025641025641024,39.0,0.11428571428571428,35.0,-0.027777777777777776,36.0,0.058823529411764705,34.0,0.0,685.0,-0.010115606936416185,692.0,-0.05657805044308112,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,708.9000244140625,0.04681041292914217,677.2000122070312,0.014835942747138195,667.2999877929688,0.003760529551601838,664.7999877929688,0.05910462779105538,684.0,0.02779864763335838,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,659.9000244140625,0.018050003064940295,648.2000122070312,0.0032503276589497796,646.0999755859375,-0.033941406431451944,668.7999877929688,0.06666664719771731,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,27796.0,0.03423128441732401,26876.0,0.011440614180340208,26572.0,0.003133376118388765,26489.0,0.016813174158381634,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,4697.52978515625,0.02000918592788792,4605.3798828125,0.01330721946979761,4544.89990234375,0.016444575874765735,4471.3701171875,0.01822456841991028,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,3491.570068359375,-0.0157216444291962,3547.340087890625,-0.009842016637216145,3582.60009765625,0.0028636395818930393,3572.3701171875,-0.00551193432329758,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0
2021-12-12,1619.2463963443768,98.52154654226472,1757.2102597052497,1523.5855646398911,50.0,1.4142135623730885,51.0,48.0,705.125,21.650153964040957,733.5,685.0,691.7250061035156,22.046985653738865,716.9000244140625,665.5,26462.75,701.8149684924067,27337.0,25853.0,4635.757568359375,83.36668066672051,4712.02001953125,4538.43017578125,3599.56005859375,49.385607042437144,3666.35009765625,3560.3701171875,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,1819.680920444694,-0.006267458312139364,1831.157624519325,-0.009844836161324623,1849.3643131852343,0.04467497573603301,51.0,0.02,50.0,0.041666666666666664,48.0,-0.058823529411764705,51.0,-0.07272727272727272,55.0,0.41025641025641024,39.0,0.11428571428571428,35.0,-0.027777777777777776,36.0,0.058823529411764705,710.0,0.0364963503649635,685.0,-0.010115606936416185,692.0,-0.05657805044308112,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,708.9000244140625,0.04681041292914217,677.2000122070312,0.014835942747138195,667.2999877929688,0.003760529551601838,700.5,0.02412280701754386,684.0,0.02779864763335838,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,659.9000244140625,0.018050003064940295,648.2000122070312,0.0032503276589497796,646.0999755859375,-0.033941406431451944,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,27796.0,0.03423128441732401,26876.0,0.011440614180340208,26572.0,0.003133376118388765,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,4697.52978515625,0.02000918592788792,4605.3798828125,0.01330721946979761,4544.89990234375,0.016444575874765735,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,3491.570068359375,-0.0157216444291962,3547.340087890625,-0.009842016637216145,3582.60009765625,0.0028636395818930393,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,1
2021-12-19,1587.1106796339832,44.882794874485015,1628.667392863675,1523.5855646398911,51.25,3.4034296427770205,56.0,48.0,696.5,10.661457061146853,710.0,685.0,684.9499969482422,14.657533689675507,700.5,665.5,26281.25,448.52675505481005,26722.0,25853.0,4616.4276123046875,72.37591825283242,4712.02001953125,4538.43017578125,3617.5575561523438,43.054874176511724,3666.35009765625,3564.090087890625,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,1819.680920444694,-0.006267458312139364,1831.157624519325,-0.009844836161324623,56.0,0.09803921568627451,51.0,0.02,50.0,0.041666666666666664,48.0,-0.058823529411764705,51.0,-0.07272727272727272,55.0,0.41025641025641024,39.0,0.11428571428571428,35.0,-0.027777777777777776,699.0,-0.015492957746478873,710.0,0.0364963503649635,685.0,-0.010115606936416185,692.0,-0.05657805044308112,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,708.9000244140625,0.04681041292914217,677.2000122070312,0.014835942747138195,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,684.0,0.02779864763335838,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,659.9000244140625,0.018050003064940295,648.2000122070312,0.0032503276589497796,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,27796.0,0.03423128441732401,26876.0,0.011440614180340208,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,4697.52978515625,0.02000918592788792,4605.3798828125,0.01330721946979761,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,3491.570068359375,-0.0157216444291962,3547.340087890625,-0.009842016637216145,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
2021-12-26,1624.098816461394,94.91984566347566,1750.5021915529296,1523.5855646398911,56.5,8.736894948054102,69.0,50.0,702.8500061035156,14.098117019064404,717.4000244140625,685.0,690.3249969482422,7.184880254569405,700.5,684.0,26572.0,455.28232998876376,27016.0,25939.0,4649.2200927734375,87.36514764809515,4725.7900390625,4538.43017578125,3631.0485229492188,25.655526241493302,3666.35009765625,3607.429931640625,1750.5021915529296,0.07480643329822745,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,1819.680920444694,-0.006267458312139364,69.0,0.23214285714285715,56.0,0.09803921568627451,51.0,0.02,50.0,0.041666666666666664,48.0,-0.058823529411764705,51.0,-0.07272727272727272,55.0,0.41025641025641024,39.0,0.11428571428571428,717.4000244140625,0.02632335395430973,699.0,-0.015492957746478873,710.0,0.0364963503649635,685.0,-0.010115606936416185,692.0,-0.05657805044308112,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,708.9000244140625,0.04681041292914217,687.0,-0.004059129954361664,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,684.0,0.02779864763335838,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,659.9000244140625,0.018050003064940295,27016.0,0.015219270226598023,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,27796.0,0.03423128441732401,4725.7900390625,0.022756566023862654,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,4697.52978515625,0.02000918592788792,3618.053955078125,-0.003938528097618608,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,3491.570068359375,-0.0157216444291962,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
2022-01-02,1688.5435960043237,91.37186253279829,1781.364682811609,1593.6401167890804,57.5,7.93725393319377,69.0,51.0,713.3500061035156,11.830331042908117,727.0,699.0,696.0500030517578,9.282432913372167,706.9000244140625,687.0,26924.0,329.7301927333886,27347.0,26611.0,4706.1575927734375,61.47017367737228,4766.18017578125,4620.64013671875,3639.1360473632812,20.259871859486243,3666.35009765625,3618.053955078125,1781.364682811609,0.017630649882991765,1750.5021915529296,0.07480643329822745,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,1829.8875143535176,0.005609001992684144,54.0,-0.21739130434782608,69.0,0.23214285714285715,56.0,0.09803921568627451,51.0,0.02,50.0,0.041666666666666664,48.0,-0.058823529411764705,51.0,-0.07272727272727272,55.0,0.41025641025641024,727.0,0.013381621493222409,717.4000244140625,0.02632335395430973,699.0,-0.015492957746478873,710.0,0.0364963503649635,685.0,-0.010115606936416185,692.0,-0.05657805044308112,733.5,0.01466312799550557,722.9000244140625,0.019748906076807692,706.9000244140625,0.028966556643467978,687.0,-0.004059129954361664,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,684.0,0.02779864763335838,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,677.7999877929688,0.027125265520030795,27347.0,0.01225199881551673,27016.0,0.015219270226598023,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,27732.0,-0.00230248956684415,4766.18017578125,0.008546748032581358,4725.7900390625,0.022756566023862654,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,4682.85009765625,-0.0031249801856257356,3639.780029296875,0.006004906087223033,3618.053955078125,-0.003938528097618608,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,3539.10009765625,0.013612795494952932,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
2022-01-09,1774.9289956834969,127.81431747823433,1939.1817155057736,1628.667392863675,58.0,7.438637868140464,69.0,53.0,714.8000030517578,11.636724947908144,727.0,699.0,700.2750091552734,14.411903822954699,717.4000244140625,687.0,27148.0,434.47055903324974,27618.0,26611.0,4697.4100341796875,62.83239281206188,4766.18017578125,4620.64013671875,3617.4335327148438,26.823312789837537,3639.780029296875,3579.5400390625,1939.1817155057736,0.08859333196449963,1781.364682811609,0.017630649882991765,1750.5021915529296,0.07480643329822745,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,1757.2102597052497,-0.039716788096641115,53.0,-0.018518518518518517,54.0,-0.21739130434782608,69.0,0.23214285714285715,56.0,0.09803921568627451,51.0,0.02,50.0,0.041666666666666664,48.0,-0.058823529411764705,51.0,-0.07272727272727272,715.7999877929688,-0.015405793957401994,727.0,0.013381621493222409,717.4000244140625,0.02632335395430973,699.0,-0.015492957746478873,710.0,0.0364963503649635,685.0,-0.010115606936416185,692.0,-0.05657805044308112,733.5,0.01466312799550557,717.4000244140625,0.014853585567072619,706.9000244140625,0.028966556643467978,687.0,-0.004059129954361664,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,684.0,0.02779864763335838,665.5,-0.0716976184455745,716.9000244140625,0.057686688293415396,27618.0,0.009909679306688119,27347.0,0.01225199881551673,27016.0,0.015219270226598023,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,27337.0,-0.014243473243905957,4677.02978515625,-0.018704788181950524,4766.18017578125,0.008546748032581358,4725.7900390625,0.022756566023862654,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,4697.9599609375,0.0032266382579302366,3579.5400390625,-0.01655044803518306,3639.780029296875,0.006004906087223033,3618.053955078125,-0.003938528097618608,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,3560.3701171875,0.006010007895887419,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
2022-01-16,1854.6340589927731,103.25041107771033,1947.4876461007807,1750.5021915529296,55.5,9.678154093971981,69.0,46.0,708.9000091552734,22.874429762224917,727.0,675.4000244140625,694.2000122070312,22.91332765684849,717.4000244140625,665.5,27381.25,269.0221490261806,27618.0,27016.0,4707.9625244140625,47.25491373117576,4766.18017578125,4662.85009765625,3589.6585083007812,51.958978326614016,3639.780029296875,3521.260009765625,1947.4876461007807,0.00428321416636335,1939.1817155057736,0.08859333196449963,1781.364682811609,0.017630649882991765,1750.5021915529296,0.07480643329822745,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,1602.549644243286,-0.08801486026373768,46.0,-0.1320754716981132,53.0,-0.018518518518518517,54.0,-0.21739130434782608,69.0,0.23214285714285715,56.0,0.09803921568627451,51.0,0.02,50.0,0.041666666666666664,48.0,-0.058823529411764705,675.4000244140625,-0.05644029626693869,715.7999877929688,-0.015405793957401994,727.0,0.013381621493222409,717.4000244140625,0.02632335395430973,699.0,-0.015492957746478873,710.0,0.0364963503649635,685.0,-0.010115606936416185,692.0,-0.05657805044308112,665.5,-0.07234460921081222,717.4000244140625,0.014853585567072619,706.9000244140625,0.028966556643467978,687.0,-0.004059129954361664,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,684.0,0.02779864763335838,665.5,-0.0716976184455745,27544.0,-0.0026794119776957057,27618.0,0.009909679306688119,27347.0,0.01225199881551673,27016.0,0.015219270226598023,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,25853.0,-0.054285400738925266,4662.85009765625,-0.003031771904682511,4677.02978515625,-0.018704788181950524,4766.18017578125,0.008546748032581358,4725.7900390625,0.022756566023862654,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,4594.6201171875,-0.021996748505574332,3521.260009765625,-0.016281429642043852,3579.5400390625,-0.01655044803518306,3639.780029296875,0.006004906087223033,3618.053955078125,-0.003938528097618608,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,3564.090087890625,0.0010448269648054389,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2022-01-23,1871.5512483019083,84.3075512154816,1947.4876461007807,1781.364682811609,49.75,4.3493294502332915,54.0,46.0,703.8500061035156,22.600502625229826,727.0,675.4000244140625,689.6500091552734,26.36647306903121,717.4000244140625,665.5,27392.5,248.84064512588077,27618.0,27061.0,4626.0,158.77010705022022,4766.18017578125,4397.93994140625,3565.7875366210938,56.31598502081381,3639.780029296875,3521.260009765625,1818.170948789469,-0.0664018062297991,1947.4876461007807,0.00428321416636335,1939.1817155057736,0.08859333196449963,1781.364682811609,0.017630649882991765,1750.5021915529296,0.07480643329822745,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,1523.5855646398911,-0.049274030222434165,46.0,0.0,46.0,-0.1320754716981132,53.0,-0.018518518518518517,54.0,-0.21739130434782608,69.0,0.23214285714285715,56.0,0.09803921568627451,51.0,0.02,50.0,0.041666666666666664,697.2000122070312,0.032277149844466085,675.4000244140625,-0.05644029626693869,715.7999877929688,-0.015405793957401994,727.0,0.013381621493222409,717.4000244140625,0.02632335395430973,699.0,-0.015492957746478873,710.0,0.0364963503649635,685.0,-0.010115606936416185,668.7999877929688,0.004958659343303907,665.5,-0.07234460921081222,717.4000244140625,0.014853585567072619,706.9000244140625,0.028966556643467978,687.0,-0.004059129954361664,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,684.0,0.02779864763335838,27061.0,-0.017535579436537902,27544.0,-0.0026794119776957057,27618.0,0.009909679306688119,27347.0,0.01225199881551673,27016.0,0.015219270226598023,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,25939.0,0.0033264998259389627,4397.93994140625,-0.05681292572179305,4662.85009765625,-0.003031771904682511,4677.02978515625,-0.018704788181950524,4766.18017578125,0.008546748032581358,4725.7900390625,0.022756566023862654,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,4538.43017578125,-0.012229507548633963,3522.570068359375,0.00037204256150263595,3521.260009765625,-0.016281429642043852,3579.5400390625,-0.01655044803518306,3639.780029296875,0.006004906087223033,3618.053955078125,-0.003938528097618608,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,3607.429931640625,0.012160142611785187,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2022-01-30,1875.3868483864926,79.01998634559855,1947.4876461007807,1796.7070831499468,48.5,3.316624790355395,53.0,46.0,701.2000122070312,19.372136591173422,716.4000244140625,675.4000244140625,674.875,29.811800715729387,717.4000244140625,647.7999877929688,27197.0,488.3885065532679,27618.0,26565.0,4542.41748046875,148.0128297271033,4677.02978515625,4397.93994140625,3496.2025146484375,93.86021534275936,3579.5400390625,3361.43994140625,1796.7070831499468,-0.011805196675160187,1818.170948789469,-0.0664018062297991,1947.4876461007807,0.00428321416636335,1939.1817155057736,0.08859333196449963,1781.364682811609,0.017630649882991765,1750.5021915529296,0.07480643329822745,1628.667392863675,0.021979414113375152,1593.6401167890804,0.04598005768435268,49.0,0.06521739130434782,46.0,0.0,46.0,-0.1320754716981132,53.0,-0.018518518518518517,54.0,-0.21739130434782608,69.0,0.23214285714285715,56.0,0.09803921568627451,51.0,0.02,716.4000244140625,0.027538743360391492,697.2000122070312,0.032277149844466085,675.4000244140625,-0.05644029626693869,715.7999877929688,-0.015405793957401994,727.0,0.013381621493222409,717.4000244140625,0.02632335395430973,699.0,-0.015492957746478873,710.0,0.0364963503649635,647.7999877929688,-0.03139952210420895,668.7999877929688,0.004958659343303907,665.5,-0.07234460921081222,717.4000244140625,0.014853585567072619,706.9000244140625,0.028966556643467978,687.0,-0.004059129954361664,689.7999877929688,-0.015274821137803355,700.5,0.02412280701754386,26565.0,-0.018328960496655704,27061.0,-0.017535579436537902,27544.0,-0.0026794119776957057,27618.0,0.009909679306688119,27347.0,0.01225199881551673,27016.0,0.015219270226598023,26611.0,-0.004153880697552579,26722.0,0.0301862060989244,4431.85009765625,0.007710463694771867,4397.93994140625,-0.05681292572179305,4662.85009765625,-0.003031771904682511,4677.02978515625,-0.018704788181950524,4766.18017578125,0.008546748032581358,4725.7900390625,0.022756566023862654,4620.64013671875,-0.019392931785886264,4712.02001953125,0.0382488739556554,3361.43994140625,-0.045742206351106256,3522.570068359375,0.00037204256150263595,3521.260009765625,-0.016281429642043852,3579.5400390625,-0.01655044803518306,3639.780029296875,0.006004906087223033,3618.053955078125,-0.003938528097618608,3632.360107421875,-0.009270797749539367,3666.35009765625,0.01633300358763411,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
