date,qty_rol_mean,qty_rol_std,qty_rol_max,qty_rol_min,lvmh_stock_price_rol_mean,lvmh_stock_price_rol_std,lvmh_stock_price_rol_max,lvmh_stock_price_rol_min,kering_stock_price_rol_mean,kering_stock_price_rol_std,kering_stock_price_rol_max,kering_stock_price_rol_min,ftse_mib_price_rol_mean,ftse_mib_price_rol_std,ftse_mib_price_rol_max,ftse_mib_price_rol_min,usa_index_rol_mean,usa_index_rol_std,usa_index_rol_max,usa_index_rol_min,china_index_rol_mean,china_index_rol_std,china_index_rol_max,china_index_rol_min,qty-0,qty_V_0,qty-1,qty_V_1,qty-2,qty_V_2,qty-3,qty_V_3,qty-4,qty_V_4,qty-5,qty_V_5,qty-6,qty_V_6,qty-7,qty_V_7,lvmh_stock_price-0,lvmh_stock_price_V_0,lvmh_stock_price-1,lvmh_stock_price_V_1,lvmh_stock_price-2,lvmh_stock_price_V_2,lvmh_stock_price-3,lvmh_stock_price_V_3,lvmh_stock_price-4,lvmh_stock_price_V_4,lvmh_stock_price-5,lvmh_stock_price_V_5,lvmh_stock_price-6,lvmh_stock_price_V_6,lvmh_stock_price-7,lvmh_stock_price_V_7,kering_stock_price-0,kering_stock_price_V_0,kering_stock_price-1,kering_stock_price_V_1,kering_stock_price-2,kering_stock_price_V_2,kering_stock_price-3,kering_stock_price_V_3,kering_stock_price-4,kering_stock_price_V_4,kering_stock_price-5,kering_stock_price_V_5,kering_stock_price-6,kering_stock_price_V_6,kering_stock_price-7,kering_stock_price_V_7,ftse_mib_price-0,ftse_mib_price_V_0,ftse_mib_price-1,ftse_mib_price_V_1,ftse_mib_price-2,ftse_mib_price_V_2,ftse_mib_price-3,ftse_mib_price_V_3,ftse_mib_price-4,ftse_mib_price_V_4,ftse_mib_price-5,ftse_mib_price_V_5,ftse_mib_price-6,ftse_mib_price_V_6,ftse_mib_price-7,ftse_mib_price_V_7,usa_index-0,usa_index_V_0,usa_index-1,usa_index_V_1,usa_index-2,usa_index_V_2,usa_index-3,usa_index_V_3,usa_index-4,usa_index_V_4,usa_index-5,usa_index_V_5,usa_index-6,usa_index_V_6,usa_index-7,usa_index_V_7,china_index-0,china_index_V_0,china_index-1,china_index_V_1,china_index-2,china_index_V_2,china_index-3,china_index_V_3,china_index-4,china_index_V_4,china_index-5,china_index_V_5,china_index-6,china_index_V_6,china_index-7,china_index_V_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,week_of_month_1,week_of_month_2,week_of_month_3,week_of_month_4,week_of_month_5,month_variation
2020-02-09,3539.826759747677,312.1471656109158,3942.92033161573,3270.6772318753938,416.1499938964844,17.925725392840576,439.0499877929688,395.2999877929688,576.0500030517578,23.972280159897124,610.2000122070312,555.0,23956.25,524.0352246430255,24478.0,23237.0,3294.5800170898438,48.63290064153925,3329.6201171875,3225.52001953125,2976.1280517578125,81.46159468733545,3075.49609375,2875.9599609375,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,3317.273312925668,0.01424661553153512,3270.6772318753938,0.1777842846954055,2776.9747604683357,-0.08342149947490154,3029.718413510065,0.00475528563763855,3015.379423047616,0.005426629265502004,2999.1043953654303,0.010972344219509511,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,416.2999877929688,-0.051816423260504944,439.0499877929688,0.03635074735831886,423.6499938964844,0.010856568185887655,419.1000061035156,0.00359195397048959,417.6000061035156,0.017295995380062424,410.5,0.016592403193598754,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,573.2999877929688,-0.060472015201374504,610.2000122070312,0.030569223724730095,592.0999755859375,-0.01464478028055653,600.9000244140625,0.017267668861087316,590.7000122070312,0.018272775499407746,580.0999755859375,0.03220636225255783,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,23969.0,-0.007124808417215526,24141.0,0.004995628824778319,24021.0,0.013458779849801705,23702.0,-0.002357100766057749,23758.0,-0.010248291951341443,24004.0,0.028933944875476875,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,3295.469970703125,-0.01025646929152426,3329.6201171875,0.019682428410166704,3265.35009765625,0.009428566727743646,3234.85009765625,-0.0015956450404118053,3240.02001953125,0.00583631325991728,3221.219970703125,0.016542514853338807,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,2976.528076171875,-0.03217952959824825,3075.49609375,-0.005431222931521367,3092.291015625,0.002758014745565876,3083.785888671875,0.026206009817341933,3005.035888671875,3.257983725680695e-05,3004.93798828125,0.012555940261612733,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
2020-02-16,3708.288931740357,300.07192874227627,3944.5259198461135,3317.273312925668,410.12500000000006,9.930138004477262,416.2999877929688,395.2999877929688,568.3500061035156,10.517451434079664,579.4000244140625,555.0,24137.75,704.1313206119054,24867.0,23237.0,3307.2149658203125,64.6864724999063,3380.159912109375,3225.52001953125,2936.5060424804688,49.157996309893925,2976.528076171875,2875.9599609375,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,3317.273312925668,0.01424661553153512,3270.6772318753938,0.1777842846954055,2776.9747604683357,-0.08342149947490154,3029.718413510065,0.00475528563763855,3015.379423047616,0.005426629265502004,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,416.2999877929688,-0.051816423260504944,439.0499877929688,0.03635074735831886,423.6499938964844,0.010856568185887655,419.1000061035156,0.00359195397048959,417.6000061035156,0.017295995380062424,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,573.2999877929688,-0.060472015201374504,610.2000122070312,0.030569223724730095,592.0999755859375,-0.01464478028055653,600.9000244140625,0.017267668861087316,590.7000122070312,0.018272775499407746,24867.0,0.015891821227224448,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,23969.0,-0.007124808417215526,24141.0,0.004995628824778319,24021.0,0.013458779849801705,23702.0,-0.002357100766057749,23758.0,-0.010248291951341443,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,3295.469970703125,-0.01025646929152426,3329.6201171875,0.019682428410166704,3265.35009765625,0.009428566727743646,3234.85009765625,-0.0015956450404118053,3240.02001953125,0.00583631325991728,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,2976.528076171875,-0.03217952959824825,3075.49609375,-0.005431222931521367,3092.291015625,0.002758014745565876,3083.785888671875,0.026206009817341933,3005.035888671875,3.257983725680695e-05,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2020-02-23,3880.6781243391747,170.77368785214796,4006.830083320941,3628.436162573915,407.17500305175787,9.21092006157228,414.9500122070313,395.2999877929688,565.4250030517578,10.306767612525567,579.4000244140625,555.0,24338.75,752.9640872356835,24867.0,23237.0,3317.7849731445312,65.57581453594807,3380.159912109375,3225.52001953125,2952.291259765625,71.39947433183549,3039.6689453125,2875.9599609375,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,3317.273312925668,0.01424661553153512,3270.6772318753938,0.1777842846954055,2776.9747604683357,-0.08342149947490154,3029.718413510065,0.00475528563763855,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,416.2999877929688,-0.051816423260504944,439.0499877929688,0.03635074735831886,423.6499938964844,0.010856568185887655,419.1000061035156,0.00359195397048959,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,573.2999877929688,-0.060472015201374504,610.2000122070312,0.030569223724730095,592.0999755859375,-0.01464478028055653,600.9000244140625,0.017267668861087316,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,23969.0,-0.007124808417215526,24141.0,0.004995628824778319,24021.0,0.013458779849801705,23702.0,-0.002357100766057749,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,3295.469970703125,-0.01025646929152426,3329.6201171875,0.019682428410166704,3265.35009765625,0.009428566727743646,3234.85009765625,-0.0015956450404118053,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,2976.528076171875,-0.03217952959824825,3075.49609375,-0.005431222931521367,3092.291015625,0.002758014745565876,3083.785888671875,0.026206009817341933,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2020-03-01,3967.362495522688,30.20834952958075,4006.830083320941,3942.92033161573,401.0625076293946,20.68463326467024,414.9500122070313,370.8500061035156,553.125,32.45504496758797,579.4000244140625,505.7999877929688,24025.5,1371.0527585277914,24867.0,21984.0,3249.9599609375,198.46605298940688,3380.159912109375,2954.219970703125,2928.2352294921875,76.53677373476931,3039.6689453125,2875.9599609375,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,3317.273312925668,0.01424661553153512,3270.6772318753938,0.1777842846954055,2776.9747604683357,-0.08342149947490154,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,416.2999877929688,-0.051816423260504944,439.0499877929688,0.03635074735831886,423.6499938964844,0.010856568185887655,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,573.2999877929688,-0.060472015201374504,610.2000122070312,0.030569223724730095,592.0999755859375,-0.01464478028055653,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,23969.0,-0.007124808417215526,24141.0,0.004995628824778319,24021.0,0.013458779849801705,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,3295.469970703125,-0.01025646929152426,3329.6201171875,0.019682428410166704,3265.35009765625,0.009428566727743646,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,2976.528076171875,-0.03217952959824825,3075.49609375,-0.005431222931521367,3092.291015625,0.002758014745565876,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
2020-03-08,4010.753961471452,74.93733908414018,4116.4861954107855,3944.5259198461135,387.6625061035156,26.183595389502702,414.9500122070313,360.3500061035156,532.5749969482422,45.31478427926315,579.4000244140625,483.5,23106.0,2037.6890505341257,24867.0,20800.0,3161.125,229.2093513811213,3380.159912109375,2954.219970703125,2967.8729858398438,81.34465578976041,3039.6689453125,2880.303955078125,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,3317.273312925668,0.01424661553153512,3270.6772318753938,0.1777842846954055,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,416.2999877929688,-0.051816423260504944,439.0499877929688,0.03635074735831886,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,573.2999877929688,-0.060472015201374504,610.2000122070312,0.030569223724730095,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,23969.0,-0.007124808417215526,24141.0,0.004995628824778319,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,3295.469970703125,-0.01025646929152426,3329.6201171875,0.019682428410166704,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,2976.528076171875,-0.03217952959824825,3075.49609375,-0.005431222931521367,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
2020-03-15,4025.04588695998,62.51856814255563,4116.4861954107855,3975.1736473079673,362.6500015258789,36.986554561116456,404.5,314.8999938964844,488.9749908447266,64.9082520256894,561.5999755859375,405.0,20877.75,3680.8568182784106,24773.0,15954.0,2993.8400268554688,258.38726235491896,3337.75,2711.02001953125,2960.4777221679688,88.5370255479184,3039.6689453125,2880.303955078125,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,3317.273312925668,0.01424661553153512,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,416.2999877929688,-0.051816423260504944,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,573.2999877929688,-0.060472015201374504,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,23969.0,-0.007124808417215526,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,3295.469970703125,-0.01025646929152426,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,2976.528076171875,-0.03217952959824825,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2020-03-22,3966.0740108367363,143.81893836258504,4116.4861954107855,3770.942578827964,339.2750015258789,30.739515503917154,370.8500061035156,311.0,453.5,48.75099280339331,505.7999877929688,405.0,18617.5,3241.2431257158105,21984.0,15732.0,2735.6325073242188,310.88276508994704,2972.3701171875,2304.919921875,2886.9649658203125,118.0302194262164,3034.510986328125,2745.617919921875,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,3628.436162573915,0.09380078766371445,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,395.2999877929688,-0.05044439254330116,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,555.0,-0.031920439878985796,15732.0,-0.013915005641218503,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,24478.0,0.05340620562034686,23237.0,-0.030539446785431183,2304.919921875,-0.14979605267779134,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,3225.52001953125,-0.021226092725387634,2745.617919921875,-0.04911261200207899,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,2976.528076171875,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
2020-03-29,3886.1723633452025,210.4331507411603,4116.4861954107855,3655.567057341831,331.9749984741211,23.31132011639159,360.3500061035156,311.0,446.9250030517578,40.40530837784913,483.5,405.0,17327.25,2362.5479712942683,20800.0,15732.0,2632.4450073242188,281.230778155371,2972.3701171875,2304.919921875,2859.939697265625,131.65346509183917,3034.510986328125,2745.617919921875,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,3942.92033161573,0.08667209644904655,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,413.9500122070313,0.0471794206678046,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,565.7000122070312,0.01927930127393018,16823.0,0.069349097381134,15732.0,-0.013915005641218503,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,24478.0,0.05340620562034686,2541.469970703125,0.10262831544954365,2304.919921875,-0.14979605267779134,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,3327.7099609375,0.03168169497862884,2772.202880859375,0.009682687727452063,2745.617919921875,-0.04911261200207899,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,2875.9599609375,-0.03378705413177761,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2020-04-05,3756.5206386421974,178.58376653737895,4001.693621800229,3597.879296598765,323.1499938964844,13.681433020597538,341.6499938964844,311.0,439.2250061035156,33.447607549195844,479.5,405.0,16223.25,482.8259693374638,16823.0,15732.0,2511.5149536132812,167.23625213480256,2711.02001953125,2304.919921875,2792.3087158203125,64.37877376738653,2887.427001953125,2745.617919921875,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,3944.5259198461135,0.00040720788028846835,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,414.9500122070313,0.0024157506232899057,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,579.4000244140625,0.024217804333398898,16384.0,-0.026095226772870475,16823.0,0.069349097381134,15732.0,-0.013915005641218503,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,24867.0,0.015891821227224448,2488.64990234375,-0.02078327462777841,2541.469970703125,0.10262831544954365,2304.919921875,-0.14979605267779134,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,3380.159912109375,0.01576157531382288,2763.987060546875,-0.0029636432344926785,2772.202880859375,0.009682687727452063,2745.617919921875,-0.04911261200207899,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,2917.008056640625,0.014272832814315057,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0
2020-04-12,3648.356087248948,89.29188326867373,3770.942578827964,3569.0354162272315,331.2749938964844,16.507395600066555,347.3999938964844,311.0,456.40000915527344,27.039966938066982,479.5,419.7000122070313,16640.25,793.2659810345212,17622.0,15732.0,2531.2149658203125,200.00249642388664,2789.820068359375,2304.919921875,2769.6097412109375,21.16680121206962,2796.631103515625,2745.617919921875,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,4006.830083320941,0.015795095466696305,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,404.5,-0.025183785756385215,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,561.5999755859375,-0.03072151894733848,17622.0,0.0755615234375,16384.0,-0.026095226772870475,16823.0,0.069349097381134,15732.0,-0.013915005641218503,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,24773.0,-0.0037801101861905336,2789.820068359375,0.12101749054054982,2488.64990234375,-0.02078327462777841,2541.469970703125,0.10262831544954365,2304.919921875,-0.14979605267779134,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,3337.75,-0.01254671767375327,2796.631103515625,0.011810490517380041,2763.987060546875,-0.0029636432344926785,2772.202880859375,0.009682687727452063,2745.617919921875,-0.04911261200207899,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,3039.6689453125,0.042050239934248765,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
2020-04-19,3594.2738115523234,44.64594163430373,3655.567057341831,3554.613476041465,343.0249938964844,13.764482097313103,358.0,325.04998779296875,477.3250045776367,20.849991942481672,503.3999938964844,452.7000122070313,16971.0,515.5353204841173,17622.0,16384.0,2673.625,187.578366027385,2874.56005859375,2488.64990234375,2792.8290405273438,33.45217736979369,2838.4951171875,2763.987060546875,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,3975.1736473079673,-0.007900618532527392,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,370.8500061035156,-0.08318910728426297,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,505.7999877929688,-0.09935895694217321,17055.0,-0.032175689479060264,17622.0,0.0755615234375,16384.0,-0.026095226772870475,16823.0,0.069349097381134,15732.0,-0.013915005641218503,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,21984.0,-0.11258224680095265,2874.56005859375,0.03037471527122841,2789.820068359375,0.12101749054054982,2488.64990234375,-0.02078327462777841,2541.469970703125,0.10262831544954365,2304.919921875,-0.14979605267779134,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2954.219970703125,-0.11490675733559284,2838.4951171875,0.014969444350113981,2796.631103515625,0.011810490517380041,2763.987060546875,-0.0029636432344926785,2772.202880859375,0.009682687727452063,2745.617919921875,-0.04911261200207899,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,2880.303955078125,-0.05242840358655937,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2020-04-26,3444.601212503298,259.10812927848735,3597.879296598765,3056.8766611457304,342.8249969482422,13.796894022497685,358.0,325.04998779296875,470.2875061035156,24.331261739820214,503.3999938964844,451.3500061035156,16980.0,512.395029900429,17622.0,16384.0,2747.4425048828125,175.97573920545324,2874.56005859375,2488.64990234375,2801.9105834960938,30.81286929309346,2838.4951171875,2763.987060546875,3056.8766611457304,-0.14002558034805826,3554.613476041465,-0.004040850959392128,3569.0354162272315,-0.008016911628692181,3597.879296598765,-0.01578079675141128,3655.567057341831,-0.03059593697711318,3770.942578827964,-0.05766334576819939,4001.693621800229,-0.027886058196558948,4116.4861954107855,0.035548773623642005,340.8500061035156,-0.047905010884034566,358.0,0.030512395767842572,347.3999938964844,0.06875867387434212,325.04998779296875,-0.04858775471995242,341.6499938964844,0.09855303503692725,311.0,-0.012384864947842463,314.8999938964844,-0.1261274079012367,360.3500061035156,-0.02831333376618343,451.3500061035156,-0.10339687807718159,503.3999938964844,0.06269786979965845,473.7000122070313,0.04638833539592697,452.7000122070313,-0.05589152824393888,479.5,0.14248269252722898,419.7000122070313,0.036296326437114335,405.0,-0.1623578076525336,483.5,-0.04408854948825446,16859.0,-0.01149223101729698,17055.0,-0.032175689479060264,17622.0,0.0755615234375,16384.0,-0.026095226772870475,16823.0,0.069349097381134,15732.0,-0.013915005641218503,15954.0,-0.23298076923076924,20800.0,-0.053857350800582245,2836.739990234375,-0.013156819683175024,2874.56005859375,0.03037471527122841,2789.820068359375,0.12101749054054982,2488.64990234375,-0.02078327462777841,2541.469970703125,0.10262831544954365,2304.919921875,-0.14979605267779134,2711.02001953125,-0.08792649883842302,2972.3701171875,0.0061438033268914425,2808.529052734375,-0.010557025189747951,2838.4951171875,0.014969444350113981,2796.631103515625,0.011810490517380041,2763.987060546875,-0.0029636432344926785,2772.202880859375,0.009682687727452063,2745.617919921875,-0.04911261200207899,2887.427001953125,-0.0484704076003288,3034.510986328125,0.0535384576263644,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
