unique_id,ds,value
qty,2019-05-26,1533.4498133240584
qty,2019-06-02,1567.227764450969
qty,2019-06-09,1595.7535672072074
qty,2019-06-16,1595.5645886114926
qty,2019-06-23,1586.3501035245713
qty,2019-06-30,1521.2677170222169
qty,2019-07-07,1530.4043206559347
qty,2019-07-14,1411.769551081
qty,2019-07-21,1514.268638596614
qty,2019-07-28,1587.6754345766003
qty,2019-08-04,1644.8972516776398
qty,2019-09-01,1629.1220943189494
qty,2019-09-08,1595.2808962379281
qty,2019-09-15,1603.2829164593422
qty,2019-09-22,1479.569846399783
qty,2019-09-29,1521.6309140822796
qty,2019-10-06,1554.077624150337
qty,2019-10-13,1543.0208731217836
qty,2019-10-20,1542.5916461084025
qty,2019-11-03,1479.307300210586
qty,2019-11-10,1377.29092096732
qty,2019-11-17,1296.6504177741326
qty,2019-12-01,1230.7011861603073
qty,2019-12-08,1193.0508272319482
qty,2019-12-15,1141.3275409162227
qty,2020-01-05,1112.0756686441748
qty,2020-01-19,1090.0636298841578
qty,2020-01-26,1094.5692903514876
qty,2020-02-02,1159.5137931855413
qty,2020-02-09,1303.5769503363765
qty,2020-02-16,1423.2945036796023
qty,2020-02-23,1494.2111554074627
qty,2020-03-01,1547.2417768825367
qty,2020-03-08,1631.4942098644563
qty,2020-03-22,1665.5258044925267
qty,2020-05-10,1677.6443490248923
qty,2020-05-17,1609.0996825029624
qty,2020-05-24,1523.62953617323
qty,2020-06-07,1498.1450486516947
qty,2020-06-14,1484.2365010459953
qty,2020-06-21,1453.4696381832864
qty,2020-07-05,1419.0966285484992
qty,2020-07-12,1358.09840423051
qty,2020-07-19,1293.0654015835144
qty,2020-07-26,1319.5743896684376
qty,2020-08-02,1322.4008714476658
qty,2020-08-09,1356.253404760981
qty,2020-08-30,1365.0569089200567
qty,2020-09-06,1363.980662162905
qty,2020-09-13,1360.3476087675301
qty,2020-09-20,1367.86138500155
qty,2020-09-27,1358.303236332014
qty,2020-10-04,1316.6323095574353
qty,2020-10-11,1366.2829661605033
qty,2020-10-18,1384.7494193717248
qty,2020-10-25,1398.7385880967995
qty,2020-11-01,1448.633303840613
qty,2020-11-08,1473.220449230155
qty,2020-11-15,1437.9573109250382
qty,2020-11-22,1408.4172924828729
