date,BAL,YSL,GIV
2024-02-04,28,70,9
2024-02-11,24,70,8
2024-02-18,29,71,9
2024-02-25,30,70,9
2024-03-03,29,69,9
2024-03-10,28,66,7
2024-03-17,31,67,7
2024-03-24,29,75,8
2024-03-31,30,70,7
2024-04-07,29,67,7
2024-04-14,28,65,8
2024-04-21,31,70,7
2024-04-28,31,71,8
2024-05-05,31,71,7
2024-05-12,26,69,8
2024-05-19,29,69,8
2024-05-26,30,72,7
2024-06-02,31,67,7
2024-06-09,33,71,8
2024-06-16,34,68,8
2024-06-23,32,67,7
2024-06-30,31,64,7

