date,qty,Google_imm,lvmh_stock_price,kering_stock_price
2018-11-25,2292.0,,,
2018-12-02,1462.6938782559039,,,
2018-12-09,1781.2451400181355,,,
2018-12-16,1908.665644723028,,,
2018-12-23,2137.5050948629673,,,
2018-12-30,2246.4762615962723,,,
2019-01-06,2299.674783938515,,,
2019-01-13,2410.118344632887,,,
2019-01-20,2189.0549936536136,,,
2019-01-27,2066.7777378131946,,,
2019-02-03,2005.728712181095,,,
2019-02-10,1947.7428531386113,,,
2019-02-17,1698.1197638862006,,,
2019-02-24,1419.6649138916755,,,
2019-03-03,1667.976485706301,,,
2019-03-10,1611.549734381645,,,
2019-03-17,1583.337004477166,,,
2019-03-24,2117.0084982999874,,,
2019-03-31,2108.4116744542157,,,
2019-04-07,2104.113274829197,,,
2019-04-14,2004.5405182131854,,,
2019-04-21,2365.923750899101,,,
2019-04-28,2355.4067329416544,,,
2019-05-05,2126.2707686278745,,,
2019-05-12,1982.0808582277782,,,
2019-05-19,1970.774115414879,,,
2019-05-26,1965.1207441347922,24.0,336.5,482.70001220703125
2019-06-02,1973.2092714349021,24.0,338.6000061035156,465.95001220703125
2019-06-09,1977.253535062358,24.0,357.04998779296875,479.6000061035156
2019-06-16,1940.259456316116,23.0,354.0,486.45001220703125
2019-06-23,1931.8555422404154,24.0,368.29998779296875,516.2000122070312
2019-06-30,1927.6535852055001,24.0,374.29998779296875,520.0999755859375
2019-07-07,2065.503019027065,26.0,380.79998779296875,522.2000122070312
2019-07-14,2237.375588886938,25.0,384.0,522.2000122070312
2019-07-21,2078.942253892239,25.0,382.29998779296875,522.7000122070312
2019-07-28,2176.056966295861,25.0,385.6000061035156,473.25
2019-08-04,2222.154280921134,24.0,358.3999938964844,450.8999938964844
2019-08-11,2245.2029382335195,25.0,364.3500061035156,454.6000061035156
2019-08-18,2256.727266889649,26.0,348.45001220703125,432.29998779296875
2019-08-25,2262.489431217698,22.0,355.5,426.0
2019-09-01,2479.972480023959,23.0,362.3999938964844,440.3999938964844
2019-09-08,2258.056162777927,24.0,379.8999938964844,453.75
2019-09-15,2386.6569928834892,25.0,382.0,468.6000061035156
2019-09-22,2306.456965528181,22.0,370.04998779296875,468.95001220703125
2019-09-29,2235.56155074459,25.0,360.1499938964844,464.75
2019-10-06,2200.1138433527954,23.0,349.6000061035156,441.8999938964844
2019-10-13,2090.5324943553774,23.0,378.20001220703125,471.8500061035156
2019-10-20,1902.2407252689559,24.0,375.04998779296875,469.6499938964844
2019-10-27,1642.831214197517,22.0,383.95001220703125,514.0
2019-11-03,1703.5982911757171,22.0,389.25,515.0
2019-11-10,1570.8189441274678,24.0,403.0,519.5999755859375
2019-11-17,1588.8813162791323,24.0,405.5,545.7999877929688
2019-11-24,1590.938333094957,30.0,396.25,541.4000244140625
2019-12-01,1648.6587714725752,28.0,407.29998779296875,546.7000122070312
2019-12-08,1727.2903824594782,25.0,401.3500061035156,549.0999755859375
2019-12-15,1763.9915707906666,29.0,403.79998779296875,562.0
2019-12-22,1782.3421649562606,35.0,410.5,580.0999755859375
2019-12-29,1791.5174620390576,32.0,417.6000061035156,590.7000122070312
2020-01-05,1796.1051105804563,30.0,419.1000061035156,600.9000244140625
2020-01-12,1571.2251382107906,27.0,423.6499938964844,592.0999755859375
2020-01-19,1639.349974727322,25.0,439.04998779296875,610.2000122070312
2020-01-26,1490.0111614177608,23.0,416.29998779296875,573.2999877929688
2020-02-02,1759.9220746271887,23.0,395.29998779296875,555.0
2020-02-09,2000.831627880143,23.0,413.95001220703125,565.7000122070312
2020-02-16,1930.401024069245,26.0,414.95001220703125,579.4000244140625
2020-02-23,1908.5536428043051,23.0,404.5,561.5999755859375
2020-03-01,1897.6299521718352,22.0,370.8500061035156,505.79998779296875
2020-03-08,1922.5345292519567,19.0,360.3500061035156,483.5
2020-03-15,1758.175501141242,14.0,314.8999938964844,405.0
2020-03-22,1533.7508650667976,14.0,311.0,419.70001220703125
2020-03-29,1421.5385470295755,14.0,341.6499938964844,479.5
2020-04-05,1365.4323880109644,17.0,325.04998779296875,452.70001220703125
2020-04-12,1337.3793085016587,16.0,347.3999938964844,473.70001220703125
2020-04-19,1323.352768747006,18.0,358.0,503.3999938964844
2020-04-26,1116.725852432009,19.0,340.8500061035156,451.3500061035156
2020-05-03,1073.011241245173,20.0,352.45001220703125,460.20001220703125
2020-05-10,926.4048463866463,21.0,352.25,447.5
2020-05-17,1152.6300884559669,20.0,330.25,411.3500061035156
2020-05-24,1120.8829760388196,20.0,355.29998779296875,422.8999938964844
2020-05-31,1029.7394481300814,21.0,375.0,469.6000061035156
2020-06-07,946.6200054951414,21.0,404.25,536.0999755859375
2020-06-14,1054.1637916784957,21.0,379.1499938964844,487.3500061035156
2020-06-21,1107.9356847701729,22.0,380.04998779296875,509.8999938964844
2020-06-28,1188.9164225153977,24.0,387.70001220703125,477.0
2020-07-05,1229.4067913880099,27.0,396.70001220703125,494.79998779296875
2020-07-12,1302.9181439473878,24.0,400.70001220703125,499.75
2020-07-19,1409.8106641508994,25.0,410.25,515.4000244140625
2020-07-26,1606.0741332885345,24.0,399.1000061035156,495.0
2020-08-02,1771.7997765168827,26.0,366.75,481.75
2020-08-09,1776.3304625475084,26.0,374.0,485.3500061035156
2020-08-16,1778.5958055628214,27.0,386.04998779296875,496.6000061035156
2020-08-23,1779.7284770704778,24.0,385.45001220703125,495.5
2020-08-30,1735.0414222898612,23.0,396.3500061035156,516.2999877929688
2020-09-06,1716.870821389613,22.0,402.8500061035156,555.0
2020-09-13,1530.9975666190671,21.0,416.6000061035156,570.5999755859375
2020-09-20,1503.8479648162556,24.0,413.8500061035156,587.7000122070312
2020-09-27,1604.5449732528368,22.0,400.20001220703125,566.0
2020-10-04,1654.8934774711274,21.0,407.6499938964844,577.7999877929688
2020-10-11,1566.062779499633,23.0,411.8999938964844,581.7999877929688
2020-10-18,1534.2484146821726,22.0,432.6000061035156,589.4000244140625
2020-10-25,1679.6381385724462,22.0,428.0,556.0
2020-11-01,1679.692775571803,21.0,402.29998779296875,518.5
2020-11-08,1679.720094071481,26.0,435.5,567.5
2020-11-15,1706.9735192008234,24.0,469.75,609.0
2020-11-22,1650.7154505683266,29.0,492.54998779296875,613.7000122070312
2020-11-29,1614.3031467484632,23.0,496.0,606.2000122070312
2020-12-06,1548.5982457333525,24.0,492.25,601.9000244140625
2020-12-13,1701.0697820435028,23.0,500.3999938964844,573.5
2020-12-20,1777.3055501985777,32.0,499.54998779296875,558.0
2020-12-27,1815.4234342761154,34.0,496.45001220703125,552.7000122070312
2021-01-03,1884.7825739802051,29.0,510.8999938964844,594.4000244140625
