date,qty,Google_imm,lvmh_stock_price,kering_stock_price
2018-11-25,1051.0,,,
2018-12-02,1158.918438550105,,,
2018-12-09,1189.7522781358493,,,
2018-12-16,1411.8132969260453,,,
2018-12-23,1493.2653181724613,,,
2018-12-30,1532.051994956469,,,
2019-01-06,1550.9872229927562,,,
2019-01-13,1474.480159074445,,,
2019-01-20,1436.4512075377504,,,
2019-01-27,1376.8979636851896,,,
2019-02-03,1370.8624294785934,,,
2019-02-10,1367.846873193686,,,
2019-02-17,1407.6011139463633,,,
2019-02-24,1451.4963327939572,,,
2019-03-03,1479.8152743862618,,,
2019-03-10,1533.2827168403671,,,
2019-03-17,1532.426896679576,,,
2019-03-24,1518.0095575500266,,,
2019-03-31,1536.2891856188842,,,
2019-04-07,1593.502337532098,,,
2019-04-14,1614.0668562799663,,,
2019-04-21,1626.4902960069533,,,
2019-04-28,1493.8176936427074,,,
2019-05-05,1464.9819072595599,,,
2019-05-12,1464.797514603401,,,
2019-05-19,1495.5501087451019,,,
2019-05-26,1535.6728865417103,37.0,336.5,482.70001220703125
2019-06-02,1569.6607106509184,36.0,338.6000061035156,465.95001220703125
2019-06-09,1598.2248949174518,34.0,357.04998779296875,479.6000061035156
2019-06-16,1597.694928316886,33.0,354.0,486.45001220703125
2019-06-23,1588.0824131795887,37.0,368.29998779296875,516.2000122070312
2019-06-30,1522.2356274651381,35.0,374.29998779296875,520.0999755859375
2019-07-07,1531.237988337182,39.0,380.79998779296875,522.2000122070312
2019-07-14,1411.8240992592678,35.0,384.0,522.2000122070312
2019-07-21,1514.7146451234282,38.0,382.29998779296875,522.7000122070312
2019-07-28,1588.3330785532755,39.0,385.6000061035156,473.25
2019-08-04,1645.6556887469753,38.0,358.3999938964844,450.8999938964844
2019-08-11,1674.3169938435124,38.0,364.3500061035156,454.6000061035156
2019-08-18,1688.6476463917027,39.0,348.45001220703125,432.29998779296875
2019-08-25,1695.8129726657783,36.0,355.5,426.0
2019-09-01,1631.809446353309,42.0,362.3999938964844,440.3999938964844
2019-09-08,1568.4738500401031,41.0,379.8999938964844,453.75
2019-09-15,1575.5965890991622,41.0,382.0,468.6000061035156
2019-09-22,1421.7252380784582,43.0,370.04998779296875,468.95001220703125
2019-09-29,1478.5762178941911,42.0,360.1499938964844,464.75
2019-10-06,1522.9617749252716,39.0,349.6000061035156,441.8999938964844
2019-10-13,1515.865172211409,41.0,378.20001220703125,471.8500061035156
2019-10-20,1520.0479036725446,43.0,375.04998779296875,469.6499938964844
2019-10-27,1522.1392694031124,42.0,383.95001220703125,514.0
2019-11-03,1445.5949605794628,43.0,389.25,515.0
2019-11-10,1326.766470578628,42.0,403.0,519.5999755859375
2019-11-17,1238.9532703467432,47.0,405.5,545.7999877929688
2019-11-24,1195.046670230801,57.0,396.25,541.4000244140625
2019-12-01,1146.2874609272847,48.0,407.29998779296875,546.7000122070312
2019-12-08,1122.7494399308468,50.0,401.3500061035156,549.0999755859375
2019-12-15,1076.845961114738,55.0,403.79998779296875,562.0
2019-12-22,1053.8942217066835,75.0,410.5,580.0999755859375
2019-12-29,1042.4183520026563,57.0,417.6000061035156,590.7000122070312
2020-01-05,1038.633310250425,46.0,419.1000061035156,600.9000244140625
2020-01-12,1036.7407893743093,44.0,423.6499938964844,592.0999755859375
2020-01-19,1030.0551500252873,40.0,439.04998779296875,610.2000122070312
2020-01-26,1054.6710225677407,37.0,416.29998779296875,573.2999877929688
2020-02-02,1154.705024610456,39.0,395.29998779296875,555.0
2020-02-09,1345.577727879568,41.0,413.95001220703125,565.7000122070312
2020-02-16,1491.1058720918927,42.0,414.95001220703125,579.4000244140625
2020-02-23,1568.161636461496,41.0,404.5,561.5999755859375
2020-03-01,1619.6186110445028,40.0,370.8500061035156,505.79998779296875
2020-03-08,1704.0511644211008,33.0,360.3500061035156,483.5
2020-03-15,1746.2674411094,22.0,314.8999938964844,405.0
2020-03-22,1749.7309044497376,21.0,311.0,419.70001220703125
2020-03-29,1751.4626361199066,25.0,341.6499938964844,479.5
2020-04-05,1752.328501954991,26.0,325.04998779296875,452.70001220703125
2020-04-12,1752.7614348725333,27.0,347.3999938964844,473.70001220703125
2020-04-19,1752.9779013313043,29.0,358.0,503.3999938964844
2020-04-26,1753.08613456069,31.0,340.8500061035156,451.3500061035156
2020-05-03,1753.1402511753827,33.0,352.45001220703125,460.20001220703125
2020-05-10,1729.8483373745544,36.0,352.25,447.5
2020-05-17,1563.0903214671334,36.0,330.25,411.3500061035156
2020-05-24,1410.116595689397,33.0,355.29998779296875,422.8999938964844
2020-05-31,1333.629732800529,34.0,375.0,469.6000061035156
