date,qty,lvmh_stock_price,kering_stock_price
2018-11-25,3343.0,,
2018-12-02,2621.6123168060094,252.5500030517578,384.0
2018-12-09,2698.991108155264,249.5,395.29998779296875
2018-12-16,2621.4933443445975,251.9499969482422,404.3999938964844
2018-12-23,2855.046053010546,253.4499969482422,396.1000061035156
2018-12-30,2966.26162856576,252.75,397.5
2019-01-06,3020.5558465533445,251.14999389648438,397.3999938964844
2019-01-13,3178.188681535579,258.29998779296875,405.8999938964844
2019-01-20,2900.789093364955,253.39999389648438,410.0
2019-01-27,2813.3514167022317,261.1000061035156,421.20001220703125
2019-02-03,2629.2268676701997,284.6499938964844,446.20001220703125
2019-02-10,2463.118800242462,283.54998779296875,440.8999938964844
2019-02-17,2325.090068570077,294.20001220703125,473.5
2019-02-24,2338.8648484405,299.75,480.0
2019-03-03,2717.961787195356,306.6000061035156,495.5
2019-03-10,2807.41302716837,305.79998779296875,486.79998779296875
2019-03-17,2720.786410423764,318.6000061035156,496.29998779296875
2019-03-24,3135.099037504517,313.45001220703125,492.20001220703125
2019-03-31,3190.712119311698,327.8999938964844,511.20001220703125
2019-04-07,3119.428961279192,336.04998779296875,530.0999755859375
2019-04-14,3312.9045250924787,342.8999938964844,530.4000244140625
2019-04-21,3741.168900117416,352.29998779296875,510.3999938964844
2019-04-28,3683.1853425168047,346.45001220703125,529.4000244140625
2019-05-05,3562.801539545363,355.04998779296875,526.0
2019-05-12,3481.6648441750704,333.54998779296875,507.1000061035156
2019-05-19,3523.6093279497873,340.8500061035156,522.0
2019-05-26,3409.594123868152,336.5,482.70001220703125
2019-06-02,3394.23512778225,338.6000061035156,465.95001220703125
2019-06-09,3429.7688131367845,357.04998779296875,479.6000061035156
2019-06-16,3441.3983497090735,354.0,486.45001220703125
2019-06-23,3464.0722474581207,368.29998779296875,516.2000122070312
2019-06-30,3262.7292428731403,374.29998779296875,520.0999755859375
2019-07-07,3379.9079986229426,380.79998779296875,522.2000122070312
2019-07-14,3974.026197248089,384.0,522.2000122070312
2019-07-21,4176.687885922987,382.29998779296875,522.7000122070312
2019-07-28,4377.578026120155,385.6000061035156,473.25
2019-08-04,4498.736853848917,358.3999938964844,450.8999938964844
2019-08-11,4559.316267712637,364.3500061035156,454.6000061035156
2019-08-18,4589.6059746443325,348.45001220703125,432.29998779296875
2019-08-25,4604.750828110139,355.5,426.0
2019-09-01,4656.499496122629,362.3999938964844,440.3999938964844
2019-09-08,4300.325300685885,379.8999938964844,453.75
2019-09-15,4341.41576371767,382.0,468.6000061035156
2019-09-22,4039.9400906652104,370.04998779296875,468.95001220703125
2019-09-29,3969.9826328661366,360.1499938964844,464.75
2019-10-06,3731.1930633065185,349.6000061035156,441.8999938964844
2019-10-13,3529.1233386982017,378.20001220703125,471.8500061035156
2019-10-20,3336.7666693144497,375.04998779296875,469.6499938964844
2019-10-27,2972.847787500434,383.95001220703125,514.0
2019-11-03,2921.0243736008106,389.25,515.0
2019-11-10,2774.0044252922007,403.0,519.5999755859375
2019-11-17,2754.9785096498986,405.5,545.7999877929688
2019-11-24,2645.0723394868583,396.25,541.4000244140625
2019-12-01,2640.0319087194666,407.29998779296875,546.7000122070312
2019-12-08,2822.502321202917,401.3500061035156,549.0999755859375
2019-12-15,2966.554340001059,403.79998779296875,562.0
2019-12-22,2999.1043953654303,410.5,580.0999755859375
2019-12-29,3015.379423047616,417.6000061035156,590.7000122070312
2020-01-05,3029.718413510065,419.1000061035156,600.9000244140625
2020-01-12,2776.9747604683353,423.6499938964844,592.0999755859375
2020-01-19,3270.6772318753938,439.04998779296875,610.2000122070312
2020-01-26,3317.2733129256676,416.29998779296875,573.2999877929688
2020-02-02,3628.436162573915,395.29998779296875,555.0
2020-02-09,3942.92033161573,413.95001220703125,565.7000122070312
2020-02-16,3944.5259198461135,414.95001220703125,579.4000244140625
2020-02-23,4006.8300833209405,404.5,561.5999755859375
2020-03-01,3975.1736473079673,370.8500061035156,505.79998779296875
2020-03-08,4116.4861954107855,360.3500061035156,483.5
2020-03-15,4001.6936218002293,314.8999938964844,405.0
2020-03-22,3770.942578827964,311.0,419.70001220703125
2020-03-29,3655.567057341831,341.6499938964844,479.5
2020-04-05,3597.879296598765,325.04998779296875,452.70001220703125
2020-04-12,3569.0354162272315,347.3999938964844,473.70001220703125
2020-04-19,3554.613476041465,358.0,503.3999938964844
2020-04-26,3056.8766611457304,340.8500061035156,451.3500061035156
2020-05-03,2657.6368257253707,352.45001220703125,460.20001220703125
2020-05-10,2431.2301551333944,352.25,447.5
2020-05-17,2629.3218726515097,330.25,411.3500061035156
2020-05-24,2533.1755574122462,355.29998779296875,422.8999938964844
2020-05-31,2281.1977325614143,375.0,469.6000061035156
2020-06-07,2171.510197791661,404.25,536.0999755859375
2020-06-14,2311.4960103709254,379.1499938964844,487.3500061035156
2020-06-21,2281.44483559069,380.04998779296875,509.8999938964844
2020-06-28,2216.5367726536497,387.70001220703125,477.0
2020-07-05,2100.77736033354,396.70001220703125,494.79998779296875
2020-07-12,2099.5782333868283,400.70001220703125,499.75
2020-07-19,2195.036384369695,410.25,515.4000244140625
2020-07-26,2957.9033061845357,399.1000061035156,495.0
2020-08-02,3338.859610095015,366.75,481.75
2020-08-09,3489.415030706847,374.0,485.3500061035156
2020-08-16,3564.6927410127632,386.04998779296875,496.6000061035156
2020-08-23,3602.3315961657213,385.45001220703125,495.5
2020-08-30,3680.381086037065,396.3500061035156,516.2999877929688
2020-09-06,3696.3232059234224,402.8500061035156,555.0
2020-09-13,3470.8265998774277,416.6000061035156,570.5999755859375
2020-09-20,3399.7941922954574,413.8500061035156,587.7000122070312
2020-09-27,3512.0566501936514,400.20001220703125,566.0
2020-10-04,3417.4654176741446,407.6499938964844,577.7999877929688
2020-10-11,3381.1540231367,411.8999938964844,581.7999877929688
2020-10-18,3367.157353025701,432.6000061035156,589.4000244140625
2020-10-25,3478.747268434465,428.0,556.0
2020-11-01,3484.8903398234693,402.29998779296875,518.5
2020-11-08,3386.7147784492745,435.5,567.5
2020-11-15,3311.3291291047553,469.75,609.0
2020-11-22,3426.2708432729387,492.54998779296875,613.7000122070312
