,brand,score,features,params
0,BAL,0.6542047930283225,"['month', 'qty_V_1', 'qty_V_0', 'kering_stock_price_rol_mean', 'lvmh_stock_price_rol_mean', 'qty_rol_mean', 'lvmh_stock_price_rol_std', 'qty_V_3', 'kering_stock_price_rol_std', 'qty-0', 'Google_imm_rol_std', 'qty_rol_std', 'qty-1', 'Google_imm_rol_mean', 'qty_V_4', 'qty_V_5', 'qty_V_2', 'qty-2']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'n_estimators': 500, 'scale_pos_weight': 1}"
1,YSL,0.7509412801409917,"['kering_stock_price_rol_mean', 'lvmh_stock_price_rol_std', 'qty_V_0', 'qty_V_1', 'qty_V_5', 'Google_imm_rol_std']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 500, 'scale_pos_weight': 1}"
2,GIV,0.677992409084846,"['lvmh_stock_price_rol_mean', 'qty-2', 'kering_stock_price_rol_std', 'month', 'qty_V_0']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.07, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 1000, 'scale_pos_weight': 1}"
3,ALL,0.6591337099811676,"['kering_stock_price_rol_std', 'qty_V_0', 'lvmh_stock_price_rol_std', 'qty_V_5', 'lvmh_stock_price_rol_mean', 'kering_stock_price_rol_mean', 'qty_V_2', 'qty_V_3', 'month']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.08, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.8, 'n_estimators': 1000, 'scale_pos_weight': 2}"
