,brand,score,features,params
0,BAL,0.7632904414093488,"['qty_V_3', 'qty_V_0', 'kering_stock_price_rol_mean', 'qty_V_1', 'month', 'Google_imm_rol_std', 'kering_stock_price_rol_std', 'lvmh_stock_price_rol_mean', 'lvmh_stock_price_rol_std']","{'colsample_bytree': 0.7, 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 4, 'n_estimators': 500, 'nthread': 4, 'objective': 'binary:logistic', 'scale_pos_weight': 3, 'silent': 1, 'subsample': 0.7}"
1,YSL,0.7881898857748599,"['kering_stock_price_rol_mean', 'qty-2', 'qty_V_1', 'qty_V_0', 'Google_imm_rol_std', 'kering_stock_price_rol_std', 'lvmh_stock_price_rol_mean']","{'colsample_bytree': 0.7, 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 500, 'nthread': 4, 'objective': 'binary:logistic', 'scale_pos_weight': 2, 'silent': 1, 'subsample': 0.7}"
2,GIV,0.6151045640578863,"['Google_imm_rol_mean', 'qty-2', 'kering_stock_price_rol_std', 'lvmh_stock_price_rol_mean', 'kering_stock_price_rol_mean', 'lvmh_stock_price_rol_std', 'qty_rol_std', 'qty_V_0', 'qty-1', 'qty_V_4']","{'colsample_bytree': 0.7, 'learning_rate': 0.07, 'max_depth': 6, 'min_child_weight': 4, 'n_estimators': 1000, 'nthread': 4, 'objective': 'binary:logistic', 'scale_pos_weight': 3, 'silent': 1, 'subsample': 0.8}"
3,ALL,0.6614550574829928,"['qty_V_0', 'kering_stock_price_rol_std', 'kering_stock_price_rol_mean', 'qty_rol_std']","{'colsample_bytree': 0.7, 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'nthread': 4, 'objective': 'binary:logistic', 'scale_pos_weight': 2, 'silent': 1, 'subsample': 0.7}"
