,brand,score,features,params
0,BAL,0.6222541048939901,"['qty-0', 'kering_stock_price_rol_std', 'kering_stock_price_rol_mean', 'lvmh_stock_price_rol_std', 'qty_V_1', 'qty_V_0']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 500, 'scale_pos_weight': 1}"
1,YSL,0.7603427172582619,"['qty_V_0', 'qty-2', 'qty_V_1', 'kering_stock_price_rol_mean', 'Google_imm_rol_std']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.08, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 500, 'scale_pos_weight': 1}"
2,GIV,0.7852723311546841,"['qty-2', 'qty_V_3', 'lvmh_stock_price_rol_mean', 'kering_stock_price_rol_std', 'Google_imm_rol_mean', 'qty_V_0', 'qty_V_1', 'kering_stock_price_rol_mean', 'qty_V_2']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 500, 'scale_pos_weight': 2}"
3,ALL,0.6723339719029374,"['qty_V_0', 'qty_V_2', 'kering_stock_price_rol_mean', 'qty_V_4']","{'nthread': 4, 'objective': 'binary:logistic', 'learning_rate': 0.06, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.8, 'n_estimators': 1000, 'scale_pos_weight': 3}"
