,brand,features,score
0,BAL,"['qty_V_3', 'kering_stock_price_rol_mean', 'lvmh_stock_price_rol_mean', 'kering_stock_price_rol_std', 'qty_V_1', 'qty_V_0', 'Google_imm_rol_mean', 'qty_V_4', 'lvmh_stock_price_rol_std', 'Google_imm_rol_std', 'month', 'qty-0', 'qty_rol_std', 'qty-2', 'qty-1']",0.8830940131522681
1,YSL,"['qty_V_0', 'kering_stock_price_rol_mean', 'qty_V_3']",0.6557043466228867
2,GIV,"['kering_stock_price_rol_mean', 'lvmh_stock_price_rol_mean', 'qty_V_3', 'qty_V_0', 'kering_stock_price_rol_std', 'qty-2', 'qty_V_1', 'Google_imm_rol_mean', 'month', 'lvmh_stock_price_rol_std']",0.5849263610594153
3,ALL,"['kering_stock_price_rol_mean', 'kering_stock_price_rol_std', 'qty_rol_std', 'qty_V_0', 'qty_V_4']",0.6656112003319264
